input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,location,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_mismatched,final_url
abonneevoordelen.hln.be,,200,1,,app.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,app.hln.be,443,https://abonneevoordelen.hln.be:443,,https,text/html,GET,2.16.1.129,/,-1662783523,2a02:26f0:1700:5::5f65:1b6e,Apache,2,False,,Apache,,,https://app.hln.be/
abonnement.hln.be,DPG Media Privacy Gate,200,8826,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://abonnement.hln.be:443,,https,text/html,GET,2.17.100.226,/,-318086011,2a02:26f0:ab00::214:8e52,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=d6eavbo7rcdv5d6j&callbackUrl=https://abonnement.hln.be/
acc-abonnement.hln.be,DPG Media Privacy Gate,200,8834,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://acc-abonnement.hln.be:443,,https,text/html,GET,23.213.161.217,/,-1402751847,2a02:26f0:ab00::214:8e53,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=uqxf9txhjmag4pbq&callbackUrl=https%3A%2F%2Facc-abonnement.hln.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
acc-voordelen.hln.be,Service Unavailable,503,269,,acc-voordelen.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-23T13:52:36Z,2023-08-21T13:52:35Z,CN=abonnement.hln.be,abonnement.hln.be,,www.mijnleesbox.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b06496ef87e0d1b93bdabe4a4d8d9056,c1e45a7c1a7cba73be1feb0071ab7860a07868929c98ca1363c2af8a8d442ce2,,ctls,acc-voordelen.hln.be,443,https://acc-voordelen.hln.be:443,,https,text/html,GET,23.213.161.217,/,1576973467,2a02:26f0:480:23::1726:62a0,,9,False,,AkamaiGHost,,,
acc.abonneevoordelen.hln.be,,200,1,,app.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,app.hln.be,443,https://acc.abonneevoordelen.hln.be:443,,https,text/html,GET,95.101.111.136,/,-1662783523,2a02:26f0:480:23::1726:62b3,Apache,2,False,,Apache,,,https://app.hln.be/
acc.hln.be,,401,,https:,acc.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,acc.hln.be,443,https://acc.hln.be:443,https://myprivacy.dpgmedia.be/consent?siteKey=Uqxf9TXhjmaG4pbQ&callbackUrl=https%3A%2F%2Facc.hln.be%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F,https,text/html,GET,2.17.100.184,/,520367420,2a02:26f0:ab00::214:8e61,Basic,1,False,,,,,
account.hln.be,Inlogpoging geblokkeerd,406,3323,,account.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,account.hln.be,443,https://account.hln.be:443,,https,text/html,GET,2.17.100.242,/,158517045,2a02:26f0:ab00::214:8e42,,1,False,,AkamaiGHost,,,
accounts.hln.be,,200,,,accounts.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,accounts.hln.be,443,https://accounts.hln.be:443,,https,text/html,GET,52.49.16.186,/,-1516177449,52.19.57.181,,1,False,,,,,
app.hln.be,,200,1,,app.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,app.hln.be,443,https://app.hln.be:443,,https,text/html,GET,23.213.161.211,/,-780928015,2a02:26f0:480:23::1726:629d,Apache,2,False,,Apache,,,
asset.tickets.hln.be,Tickoweb,200,239,,asset.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,asset.tickets.hln.be,443,https://asset.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
