new,host,a,cname,soa,status_code,mx,txt,cdn,cdn-name,aaaa,ns,caa,has_internal_ips,internal_ips
[x],0000.odoo.com,34.81.119.204,,"ns0.odoo.com, admin.odoo.com",NOERROR,as79a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],000001.odoo.com,141.94.74.24,,"ns0.odoo.com, admin.odoo.com",NOERROR,eu195a.odoo.com,v=spf1 include:_spf.odoo.com -all,,,,,,,
[x],000002.odoo.com,35.244.31.87,,"ns0.odoo.com, admin.odoo.com",NOERROR,me30a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],000005.odoo.com,34.93.196.58,,"ns0.odoo.com, admin.odoo.com",NOERROR,me27a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],000007.odoo.com,34.93.211.176,,"ns0.odoo.com, admin.odoo.com",NOERROR,me28a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],000008.odoo.com,34.100.211.52,,"ns0.odoo.com, admin.odoo.com",NOERROR,me29a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],00001.odoo.com,34.100.211.52,,"ns0.odoo.com, admin.odoo.com",NOERROR,me29a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],000012.odoo.com,104.199.70.137,,"ns0.odoo.com, admin.odoo.com",NOERROR,,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],00002.odoo.com,35.200.176.114,,"ns0.odoo.com, admin.odoo.com",NOERROR,me19a.odoo.com,,True,google,,,,,
[x],000023.odoo.com,35.200.246.23,,"ns0.odoo.com, admin.odoo.com",NOERROR,me17a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],000024.odoo.com,35.200.207.9,,"ns0.odoo.com, admin.odoo.com",NOERROR,me22a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],00003.odoo.com,34.172.26.41,,"ns0.odoo.com, admin.odoo.com",NOERROR,am146a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],00004.odoo.com,130.211.116.185,,"ns0.odoo.com, admin.odoo.com",NOERROR,am123a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],00005.odoo.com,141.94.74.24,,"ns0.odoo.com, admin.odoo.com",NOERROR,eu195a.odoo.com,v=spf1 include:_spf.odoo.com -all,,,,,,,
[x],00006.odoo.com,141.94.74.15,,"ns0.odoo.com, admin.odoo.com",NOERROR,eu179a.odoo.com,v=spf1 include:_spf.odoo.com -all,,,,,,,
[x],00007.odoo.com,23.251.130.138,,"ns0.odoo.com, admin.odoo.com",NOERROR,eu196a.odoo.com,v=spf1 include:_spf.odoo.com -all,True,google,,,,,
[x],00008.odoo.com,141.95.196.45,,"ns0.odoo.com, admin.odoo.com",NOERROR,eu140a.odoo.com,v=spf1 include:_spf.odoo.com -all,,,,,,,
[x],00009.odoo.com,141.94.74.33,,"ns0.odoo.com, admin.odoo.com",NOERROR,eu183a.odoo.com,v=spf1 include:_spf.odoo.com -all,,,,,,,
