input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_mismatched,location,tls_self_signed
academy.flexport.com,404 - Page not found,404,1505,academy.flexport.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-05T00:00:00Z,2024-04-04T23:59:59Z,"CN=academy.flexport.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",academy.flexport.com,"Cloudflare, Inc.",academy.flexport.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e7f721f34915367aaf0dbfc2b8b7e77a,3cb54647626551cead8e94bb2c097cf1dcf4286f18a6cd744e99b3de96bf9980,ctls,academy.flexport.com,cloudflare,443,https://academy.flexport.com:443,https,cloudflare,text/html,GET,104.17.73.206,/,-1652635829,104.17.71.206,Cloudflare Bot Management,52,False,True,,,,,,
affiliates.flexport.com,404 - Page not found,404,1505,affiliates.flexport.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=affiliates.flexport.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",affiliates.flexport.com,"Cloudflare, Inc.",affiliates.flexport.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",02d70febf675d55af5cb07a17bc2a600,ab582c48a9e90fd97179825bb31409e822fb5d8126dd5c1ca1c4c83697f47925,ctls,affiliates.flexport.com,cloudflare,443,https://affiliates.flexport.com:443,https,cloudflare,text/html,GET,104.17.74.206,/,-1652635829,104.17.73.206,Cloudflare Bot Management,52,False,True,,,,,,
air.flexport.com,404 - Page not found,404,1505,air.flexport.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=air.flexport.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",air.flexport.com,"Cloudflare, Inc.",air.flexport.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",039256ef517ab8c6410936b43ce45cf1,93bc287fa644687b2e4a3de5e6cac7fd2be44f54bbb56365cb6df82ff18a69bf,ctls,air.flexport.com,cloudflare,443,https://air.flexport.com:443,https,cloudflare,text/html,GET,104.17.71.206,/,-1652635829,104.17.72.206,Cloudflare Bot Management,52,False,True,,,,,,
alumni.flexport.com,Home,200,52413,alumni.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T16:43:22Z,2023-10-08T17:34:13Z,CN=alumni.flexport.com,alumni.flexport.com,,alumni.flexport.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,affcd543eab714d665d34279b4b560a3,41297620a544fb22e3922fdb44a4b2ddb1bea9189d30ac504b00380a56a43fe2,ctls,alumni.flexport.com,,443,https://alumni.flexport.com:443,https,ESF,text/html,GET,142.250.184.243,/,1210298712,2a00:1450:4001:831::2013,,29,False,,https://google-admin.corp.google.com/,,,,,
alumtest.flexport.com,Sign in - Google Accounts,200,584701,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:24:31Z,2023-09-25T08:24:30Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,de4b9c98530e55feba72a4b39c3a0c79,d1eba1767bf6f805da19ee0576898a3867fbcd05803643a12aa6f12c457d08e7,ctls,accounts.google.com,,443,https://alumtest.flexport.com:443,https,ESF,text/html,GET,142.250.186.147,/,942188781,2a00:1450:4001:806::2013,HTTP/3,76,False,,,True,https://accounts.google.com/v3/signin/identifier?dsh=S-452965091%3A1689746347564589&continue=https%3A%2F%2Fsites.google.com%2Fflexport.com%2Fit-test&followup=https%3A%2F%2Fsites.google.com%2Fflexport.com%2Fit-test&ifkv=AeDOFXg0qhe7HubFTdYOz24no8DOpFfeDmDaTF3bpATzSeDWeKFg_na_YnM-_RZU7z4ZU05hp7_2Ag&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,,,
analytics.flexport.com,Log in,200,266336,analytics.flexport.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T06:43:59Z,2023-10-08T06:43:58Z,CN=analytics.flexport.com,analytics.flexport.com,,analytics.flexport.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,60170c1d0e47b1564deaed98c0c8465c,722144142eff8a082adcf6a1e0202dbd34c5f60c2064ed76e580fc5fa75cb93d,ctls,analytics.flexport.com,google,443,https://analytics.flexport.com:443,https,,text/html,GET,35.230.92.25,/,-1205838683,35.230.92.25,Zipkin,400,False,True,https://csp.withgoogle.com/csp/looker/v1,,https://analytics.flexport.com/login,,,
angeni.us-east-elb.flexport.com,,302,110,www.angeni.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.angeni.us-east-elb.flexport.com,,443,https://angeni.us-east-elb.flexport.com:443,https,envoy,text/html,GET,18.214.205.53,/,-1840324437,34.224.108.9,Phusion Passenger,1,False,,,True,https://www.angeni.us-east-elb.flexport.com/,True,https://www.angeni.us-east-elb.flexport.com/,
api.flexport.com,,404,,api.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,api.flexport.com,,443,https://api.flexport.com:443,https,envoy,application/json,GET,34.224.108.9,/,-1840324437,18.213.212.17,Phusion Passenger,1,False,,,True,,,,
api.rossum.flexport.com,,404,176,api.rossum.flexport.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-23T04:04:24Z,2023-08-21T04:04:23Z,CN=api.rossum.flexport.com,api.rossum.flexport.com,,api.rossum.flexport.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d55933228bd2cdd666865eeb9365a04b,9289841ba42a8fdda95ba0c8e6d6622b7c782f1e9c783ddc35fdbb8f554fced7,ctls,api.rossum.flexport.com,,443,https://api.rossum.flexport.com:443,https,,text/html,GET,54.196.75.24,/,2017615496,34.236.204.83,HSTS,10,False,,,,,,,
apibeta.flexport.com,Flexport API Reference,200,86230,apidocs.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-16T12:37:45Z,2023-10-14T12:37:44Z,CN=apidocs.flexport.com,apidocs.flexport.com,,apidocs.flexport.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4a26b2a34cc13e266a5c4e334c81d496,5393c213f144753f40046efde70db125a725b81065860362ead2e7fd33b91ebb,ctls,apidocs.flexport.com,cloudflare,443,https://apibeta.flexport.com:443,https,openresty/1.21.4.1,text/html,GET,104.18.8.42,/,-738705486,2606:4700::6812:92a,OpenResty:1.21.4.1,271,False,True,,,https://apidocs.flexport.com/,,,
