input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,final_url
admin.onezerobank.com,,403,16,admin.onezerobank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",onezerobank.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8931aea9c5473c51f8735780fcbd8af0,a703c6d73cd72bc787e520ed4756194e01dbc1178a49b32973a4b69bd900f069,True,ctls,admin.onezerobank.com,cloudflare,443,https://admin.onezerobank.com:443,https,cloudflare,text/plain,GET,104.18.23.154,/,1253481126,104.18.22.154,HTTP/3,1,False,True,,,
app.onezerobank.com,,403,16,app.onezerobank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T18:06:24Z,2023-07-25T18:06:23Z,CN=app.onezerobank.com,app.onezerobank.com,,app.onezerobank.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fdbaf8a8c5220e26510bcb59fab547de,fe09a3754dc952c63951fe7074ae745d1fb8e1b795223ae62509b582e4b5b28d,,ctls,app.onezerobank.com,cloudflare,443,https://app.onezerobank.com:443,https,cloudflare,text/plain,GET,104.18.23.154,/,1253481126,104.18.22.154,HTTP/3,1,False,True,,,
autodiscover.marketing.onezerobank.com,Sign in to Outlook,200,40084,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.marketing.onezerobank.com:80,http,,text/html,GET,40.99.222.184,/,-1249852061,2603:1026:c0d:c31::8,HSTS,95,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=d8f99563-db6d-120f-2a81-015495903e9c&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=marketing.onezerobank.com&nonce=638230841275911673.8dc6e27c-d82f-42ab-af9b-8a4173373406&state=DctNDoMgEEBhaO_SHQoMAi5MzzL82BgLk6C1SU9fFt_bPc4Yu3e3jsse5ix4DdIbpd00K2UdDD5Fm7WLInm9CqMxCFznIDwa5QAcGGl5f6eRvjg-W8Z3WQq2PZ9bfQ1U8y83Clj3IVJ5XGnBz0lpOyJduf0B
autodiscover.onezerobank.com,Sign in to Outlook,200,39741,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.onezerobank.com:80,http,,text/html,GET,40.99.150.56,/,-1249852061,2603:1026:c0d:72::8,HSTS,95,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=122b0d84-8fb7-2279-6ebf-a112c75645a2&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=onezerobank.com&nonce=638230841279114148.837abbd7-0ac1-45f4-a12a-417dcff5a6fe&state=DctNDsIgEEBh0Lu4MbQMTDu4aDzL8JcYbSehWhNPL4vv7Z5WSp27U6dtj6LZB-dtQHB0A0DAMARPHGMmYzmBwamiYXBsECinWieea9H9vY7y5fHeCr_WRbbyK00ib88hyXo58sKft-THnuQo7Q8
en.onezerobank.com,,403,16,en.onezerobank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",onezerobank.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8931aea9c5473c51f8735780fcbd8af0,a703c6d73cd72bc787e520ed4756194e01dbc1178a49b32973a4b69bd900f069,True,ctls,en.onezerobank.com,cloudflare,443,https://en.onezerobank.com:443,https,cloudflare,text/plain,GET,104.18.23.154,/,1253481126,104.18.22.154,HTTP/3,1,False,True,https://platform.twitter.com/widgets.js,,
https://amplify.outbrain.com/cp/obtp.js,,200,23444,amplify.outbrain.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-11T23:59:59Z,"CN=*.outbrain.com, O=OUTBRAIN INC., L=New York, ST=New York, C=US",*.outbrain.com,OUTBRAIN INC.,outbrain.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a2efa71f625e4bf21a2fe541941d4b5b,7df17589aeb6e1ce33874e79c6c0b827102a63e9beca8454d6afdf4557a14162,True,ctls,amplify.outbrain.com,,443,https://amplify.outbrain.com:443/cp/obtp.js,https,AkamaiNetStorage,application/x-javascript,GET,2.18.234.190,/cp/obtp.js,1864250944,2.18.234.190,,1,False,,,,
https://cdn.taboola.com/libtrc/unip/1413959/tfa.js,,200,58912,cdn.taboola.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-31T23:59:59Z,"CN=*.taboola.com, O=TABOOLA.COM LTD, L=RAMAT GAN, C=IL",*.taboola.com,TABOOLA.COM LTD,taboolasyndication.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9f01043dd424a194cb4f53f7383d43b5,d984778a617e5f03b0f616b225b3490e43d83382a94e884a7ec7ea9df3334811,True,ctls,cdn.taboola.com,fastly,443,https://cdn.taboola.com:443/libtrc/unip/1413959/tfa.js,https,AmazonS3,application/javascript,GET,151.101.1.44,/libtrc/unip/1413959/tfa.js,-1840324437,151.101.193.44,Varnish,3,False,True,,,
https://cloudflareinsights.com/cdn-cgi/rum,405 Not Allowed,405,155,cloudflareinsights.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.cloudflareinsights.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4e0bf2db15a4f004e02b1f87abe0a034,4a2187c4f351a5ae145ebe9f5fa421ced6a00ee1d2d3144822cba053d702d362,True,ctls,cloudflareinsights.com,cloudflare,443,https://cloudflareinsights.com:443/cdn-cgi/rum,https,cloudflare,text/html,GET,104.16.57.101,/cdn-cgi/rum,1139640750,2606:4700::6810:3965,Cloudflare,8,False,True,,,
https://connect.facebook.net/en_US/fbevents.js,,200,114192,connect.facebook.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2023-06-30T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.",messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,4641eb20aab43b62d10ceb46483e1a7e,d37aa7f3cede2e2ab6378277d8ba7289250e62684f3d9a4afabe63676e03bea7,True,ctls,connect.facebook.net,,443,https://connect.facebook.net:443/en_US/fbevents.js,https,,application/x-javascript,GET,157.240.251.9,/en_US/fbevents.js,142313513,2a03:2880:f084:d:face:b00c:0:3,HTTP/3,32,False,,*.fbcdn.net,True,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:36Z,2023-08-21T08:21:35Z,CN=upload.video.google.com,upload.video.google.com,,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e31063166fb44c05048b4c83f636c4f5,1b195bc79767bf8017bc902501eb378f46d1685421e0b9531b7a521ca9cfd844,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,172.217.18.10,/,-606046040,2a00:1450:4001:813::200a,HTTP/3,1,False,,,,
