input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_mismatched,csp_domains_,favicon,final_url,tls_expired
3ds-acs.payoneer.com,404 Not Found,404,742,3ds-acs.payoneer.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2025-01-27T00:00:00Z,2026-01-26T23:59:59Z,"CN=3ds-acs.payoneer.com, O=Payoneer Inc., L=New York, ST=New York, C=US",3ds-acs.payoneer.com,Payoneer Inc.,3ds-acs.payoneer.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,2354eef04115feebe6cb1fad7c6b82c3,7c1ec795673cde8df99b77ed4ec7473e9ab05698cedae0785d84c43dd9c33abe,,ctls,3ds-acs.payoneer.com,,443,https://3ds-acs.payoneer.com,https,Apache,text/html,GET,194.126.144.240,/,/favicon.ico,194.126.144.240,Apache HTTP Server,21,False,,error,0,,,,,
account.payoneer.com,,200,42806,account.payoneer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-07-16T00:00:00Z,2025-08-16T23:59:59Z,"CN=*.payoneer.com, O=Payoneer Inc., L=New York, ST=New York, C=US",*.payoneer.com,Payoneer Inc.,payoneer.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,328c81e4c9cc422781a09a6b8e493044,87cf42f0de10e23c3bab1469b1c34353873935273380dc376da06a5edaa402cb,True,ctls,account.payoneer.com,google,443,https://account.payoneer.com,https,rhino-core-shield,text/html,GET,35.190.33.81,/,/favicon.ico,35.190.33.81,Google Cloud CDN,3,False,True,other,0,,,,,
activity-demo.sandbox.payoneer.com,,200,42806,activity-demo.sandbox.payoneer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-15T00:00:00Z,2026-01-15T23:59:59Z,"CN=*.sandbox.payoneer.com, O=Payoneer Inc., L=New York, ST=New York, C=US",*.sandbox.payoneer.com,Payoneer Inc.,sandbox.payoneer.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8bcf1a304931a72f9af8d3590d80aab4,0e8aca6da23363e3d0977ffc44ffc7a051609ff397b32664e6f9a73cec004ff2,True,ctls,activity-demo.sandbox.payoneer.com,google,443,https://activity-demo.sandbox.payoneer.com,https,rhino-core-shield,text/html,GET,130.211.36.192,/,/favicon.ico,130.211.36.192,Google Cloud CDN,3,False,True,other,0,,,,,
affiliates.payoneer.com,Login - Payoneer Affiliates,200,11285,affiliates.payoneer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-16T00:00:00Z,2026-02-13T23:59:59Z,CN=affiliates.payoneer.com,affiliates.payoneer.com,,affiliates.payoneer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ba76fff5171a6db807e742f84020ff4f,d4161be5147720ff9a8422fcec14fdb884c44bf0c3ca192fbd0aa5076c7c4387,,ctls,affiliates.payoneer.com,,443,https://affiliates.payoneer.com,https,Apache,text/html,GET,54.159.23.43,/,/user_content/brand/logos/payoneeracquisition/favicon_1624267409.ico,52.71.204.216,PHP,108,False,,nonerror,0,,,,,
agenthandler.payoneer.com,,200,42806,agenthandler.payoneer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-07-16T00:00:00Z,2025-08-16T23:59:59Z,"CN=*.payoneer.com, O=Payoneer Inc., L=New York, ST=New York, C=US",*.payoneer.com,Payoneer Inc.,payoneer.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,328c81e4c9cc422781a09a6b8e493044,87cf42f0de10e23c3bab1469b1c34353873935273380dc376da06a5edaa402cb,True,ctls,agenthandler.payoneer.com,google,443,https://agenthandler.payoneer.com,https,rhino-core-shield,text/html,GET,35.186.250.20,/,/favicon.ico,35.186.250.20,Google Cloud CDN,3,False,True,other,0,,,,,
alerts.payoneer.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,,cloudfront,80,http://alerts.payoneer.com,http,CloudFront,text/html,GET,18.66.147.34,/,/favicon.ico,18.66.147.79,Amazon Web Services,20,False,True,error,0,,,,,
api.payoneer.com,,200,42806,api.payoneer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-07-16T00:00:00Z,2025-08-16T23:59:59Z,"CN=*.payoneer.com, O=Payoneer Inc., L=New York, ST=New York, C=US",*.payoneer.com,Payoneer Inc.,payoneer.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,328c81e4c9cc422781a09a6b8e493044,87cf42f0de10e23c3bab1469b1c34353873935273380dc376da06a5edaa402cb,True,ctls,api.payoneer.com,google,443,https://api.payoneer.com,https,rhino-core-shield,text/html,GET,104.155.121.44,/,/favicon.ico,104.155.121.44,,3,False,True,other,0,,,-1653346059,,
api.sandbox.payoneer.com,,200,42806,api.sandbox.payoneer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-12-15T00:00:00Z,2026-01-15T23:59:59Z,"CN=*.sandbox.payoneer.com, O=Payoneer Inc., L=New York, ST=New York, C=US",*.sandbox.payoneer.com,Payoneer Inc.,sandbox.payoneer.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8bcf1a304931a72f9af8d3590d80aab4,0e8aca6da23363e3d0977ffc44ffc7a051609ff397b32664e6f9a73cec004ff2,True,ctls,api.sandbox.payoneer.com,google,443,https://api.sandbox.payoneer.com,https,rhino-core-shield,text/html,GET,35.187.4.156,/,/favicon.ico,35.187.4.156,,3,False,True,other,0,,,-1653346059,,
api1.payoneer.com,,200,42806,api1.payoneer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-07-16T00:00:00Z,2025-08-16T23:59:59Z,"CN=*.payoneer.com, O=Payoneer Inc., L=New York, ST=New York, C=US",*.payoneer.com,Payoneer Inc.,payoneer.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,328c81e4c9cc422781a09a6b8e493044,87cf42f0de10e23c3bab1469b1c34353873935273380dc376da06a5edaa402cb,True,ctls,api1.payoneer.com,google,443,https://api1.payoneer.com,https,rhino-core-shield,text/html,GET,104.155.121.44,/,/favicon.ico,104.155.121.44,,3,False,True,other,0,,,,,
apicert.payoneer.com,,500,245,apicert.payoneer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-07-16T00:00:00Z,2025-08-16T23:59:59Z,"CN=*.payoneer.com, O=Payoneer Inc., L=New York, ST=New York, C=US",*.payoneer.com,Payoneer Inc.,payoneer.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,328c81e4c9cc422781a09a6b8e493044,87cf42f0de10e23c3bab1469b1c34353873935273380dc376da06a5edaa402cb,True,ctls,apicert.payoneer.com,,443,https://apicert.payoneer.com,https,,text/html,GET,82.163.141.60,/,/favicon.ico,82.163.141.60,,7,False,,error,0,,,,,
