input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,final_url
66trainingllcservices.eccouncil.org,EC-Council's C|CT Scholarship for Cybersecurity Career Starters | Wissen International Pte Ltd | Scholarship Partner,200,287106,66trainingllcservices.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T10:48:41Z,2023-09-23T10:48:40Z,CN=66trainingllcservices.eccouncil.org,66trainingllcservices.eccouncil.org,,*.66trainingllcservices.eccouncil.org,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,e598bc2e43730197b1be9f0c759eed76,bb32b3d0fae912cf2cb5198d50dd1b8ae3b023a44dbcac9d55e78a9096e5dc5b,True,ctls,66trainingllcservices.eccouncil.org,cloudflare,443,https://66trainingllcservices.eccouncil.org:443,https,cloudflare,text/html,GET,104.18.8.180,/,1963632971,2606:4700::6812:9b4,Yoast SEO:20.8,2390,False,True,,,
accesscomputertraining.eccouncil.org,EC-Council's C|CT Scholarship for Cybersecurity Career Starters Access Computer Training - Access Computer Training,200,279579,accesscomputertraining.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-21T09:12:46Z,2023-10-19T09:12:45Z,CN=accesscomputertraining.eccouncil.org,accesscomputertraining.eccouncil.org,,*.accesscomputertraining.eccouncil.org,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cef00abfe919a3f24890994cc6c95e29,8b95e43432a342c1f60be7e187f813f573423535a1883039c7279326a6ce0c7c,True,ctls,accesscomputertraining.eccouncil.org,cloudflare,443,https://accesscomputertraining.eccouncil.org:443,https,cloudflare,text/html,GET,104.18.9.180,/,-733072821,2606:4700::6812:9b4,Yoast SEO:20.8,2349,False,True,,,
affiliate.eccouncil.org,Join EC-Council’s Affiliate Program Today,200,261622,affiliate.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T11:22:10Z,2023-09-18T11:22:09Z,CN=affiliate.eccouncil.org,affiliate.eccouncil.org,,*.affiliate.eccouncil.org,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fb667d95433fa97fe611485e1e846049,608d96d7a481f1d9fcd159a5dd4a3a3ced8123b5938886401d1269a79f788fbd,True,ctls,affiliate.eccouncil.org,cloudflare,443,https://affiliate.eccouncil.org:443,https,cloudflare,text/html,GET,104.18.9.180,/,1771240615,2606:4700::6812:8b4,ZURB Foundation,1399,False,True,,,https://affiliate.eccouncil.org/become-an-affiliate
aletheiasolutionsinc.eccouncil.org,EC-Council's C|CT Scholarship for Cybersecurity Career Starters | Aletheia Solutions Inc | Scholarship Partner,200,286203,aletheiasolutionsinc.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-14T05:24:28Z,2023-10-12T05:24:27Z,CN=aletheiasolutionsinc.eccouncil.org,aletheiasolutionsinc.eccouncil.org,,*.aletheiasolutionsinc.eccouncil.org,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,4a7396b8cf48e7137883bee61c2c488d,e9b47abe705498f3e97c46553f881c5b135f9865b92590f21e0753fd4f5582e3,True,ctls,aletheiasolutionsinc.eccouncil.org,cloudflare,443,https://aletheiasolutionsinc.eccouncil.org:443,https,cloudflare,text/html,GET,104.18.9.180,/,-1027919746,2606:4700::6812:9b4,Yoast SEO:20.8,2389,False,True,,,
aspen-dev.eccouncil.org,The resource cannot be found.,404,2271,aspen-dev.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-24T00:00:00Z,2024-07-22T23:59:59Z,"CN=eccouncil.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",eccouncil.org,"Cloudflare, Inc.",*.eccouncil.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf015ea4a8e2f03a8b3a885f8ab5164f,4102c546fb0f01ae139374f05cc9bac89aead5eafc365481fafc59b12a296d80,True,ctls,aspen-dev.eccouncil.org,cloudflare,443,https://aspen-dev.eccouncil.org:443,https,cloudflare,text/html,GET,104.18.9.180,/,1772087922,2606:4700::6812:8b4,Microsoft ASP.NET,42,False,True,,,
aspen-dev1.eccouncil.org,,403,16,aspen-dev1.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-24T00:00:00Z,2024-07-22T23:59:59Z,"CN=eccouncil.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",eccouncil.org,"Cloudflare, Inc.",*.eccouncil.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf015ea4a8e2f03a8b3a885f8ab5164f,4102c546fb0f01ae139374f05cc9bac89aead5eafc365481fafc59b12a296d80,True,ctls,aspen-dev1.eccouncil.org,cloudflare,443,https://aspen-dev1.eccouncil.org:443,https,cloudflare,text/plain,GET,104.18.8.180,/,1268003052,2606:4700::6812:9b4,HSTS,1,False,True,,,
aspen-staging.eccouncil.org,Home | ASPEN,200,28946,aspen-staging.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-24T00:00:00Z,2024-07-22T23:59:59Z,"CN=eccouncil.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",eccouncil.org,"Cloudflare, Inc.",*.eccouncil.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf015ea4a8e2f03a8b3a885f8ab5164f,4102c546fb0f01ae139374f05cc9bac89aead5eafc365481fafc59b12a296d80,True,ctls,aspen-staging.eccouncil.org,cloudflare,443,https://aspen-staging.eccouncil.org:443,https,cloudflare,text/html,GET,104.18.9.180,/,1772087922,2606:4700::6812:9b4,HSTS,571,False,True,,,
aspen-test.eccouncil.org,Home | ASPEN,200,28946,aspen-test.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-24T00:00:00Z,2024-07-22T23:59:59Z,"CN=eccouncil.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",eccouncil.org,"Cloudflare, Inc.",*.eccouncil.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf015ea4a8e2f03a8b3a885f8ab5164f,4102c546fb0f01ae139374f05cc9bac89aead5eafc365481fafc59b12a296d80,True,ctls,aspen-test.eccouncil.org,cloudflare,80,http://aspen-test.eccouncil.org:80,http,cloudflare,text/html,GET,104.18.9.180,/,1772087922,2606:4700::6812:9b4,Microsoft ASP.NET:4.0.30319,571,False,True,,,https://aspen-test.eccouncil.org/
aspen.eccouncil.org,Home | ASPEN,200,28946,aspen.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-24T00:00:00Z,2024-07-22T23:59:59Z,"CN=eccouncil.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",eccouncil.org,"Cloudflare, Inc.",*.eccouncil.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf015ea4a8e2f03a8b3a885f8ab5164f,4102c546fb0f01ae139374f05cc9bac89aead5eafc365481fafc59b12a296d80,True,ctls,aspen.eccouncil.org,cloudflare,443,https://aspen.eccouncil.org:443,https,cloudflare,text/html,GET,104.18.9.180,/,1772087922,2606:4700::6812:9b4,HSTS,571,False,True,,,
aspenadmin-staging.eccouncil.org,,403,16,aspenadmin-staging.eccouncil.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-24T00:00:00Z,2024-07-22T23:59:59Z,"CN=eccouncil.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",eccouncil.org,"Cloudflare, Inc.",*.eccouncil.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bf015ea4a8e2f03a8b3a885f8ab5164f,4102c546fb0f01ae139374f05cc9bac89aead5eafc365481fafc59b12a296d80,True,ctls,aspenadmin-staging.eccouncil.org,cloudflare,443,https://aspenadmin-staging.eccouncil.org:443,https,cloudflare,text/plain,GET,104.18.8.180,/,1268003052,2606:4700::6812:9b4,HSTS,1,False,True,,,
