input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_expired,tls_mismatched,tls_self_signed,tls_subject_org_
academy.hostgator.com.br,﻿,200,912,academy.hostgator.com.br,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-05T00:00:00Z,2024-03-05T23:59:59Z,CN=academy.hostgator.com.br,academy.hostgator.com.br,academy.hostgator.com.br,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,005b348694f3c18d47fc1d797fead29d,8d7126e652e41c5d08929cfad44831b8f5c577faaf48e802634ba6702b4a1465,,ctls,academy.hostgator.com.br,,443,https://academy.hostgator.com.br:443,https,nginx/1.20.1,text/html,GET,54.207.63.114,/,-1840324437,54.207.40.81,Node.js,26,False,,,,,,,
afiliados.hostgator.com.br,HostGator Brasil - Programa de Afiliados,200,17523,afiliados.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,afiliados.hostgator.com.br,cloudflare,443,https://afiliados.hostgator.com.br:443,https,cloudflare,text/html,GET,172.66.40.38,/,-1451542824,2606:4700:3108::ac42:2826,PHP:7.2.24,317,False,True,,,,,,
assets-blog.hostgator.com.br,,403,243,assets-blog.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,assets-blog.hostgator.com.br,cloudflare,443,https://assets-blog.hostgator.com.br:443,https,cloudflare,application/xml,GET,172.66.40.38,/,1120575703,2606:4700:3108::ac42:2bda,Cloudflare Bot Management,2,False,True,,,,,,
assets-guias.hostgator.com.br,,403,243,assets-guias.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,assets-guias.hostgator.com.br,cloudflare,443,https://assets-guias.hostgator.com.br:443,https,cloudflare,application/xml,GET,172.66.43.218,/,1708364440,2606:4700:3108::ac42:2bda,Cloudflare Bot Management,2,False,True,,,,,,
atendimento.hostgator.com.br,,523,,atendimento.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,atendimento.hostgator.com.br,cloudflare,443,https://atendimento.hostgator.com.br:443,https,cloudflare,,GET,172.66.40.38,/,-1840324437,2606:4700:3108::ac42:2bda,Cloudflare Bot Management,1,False,True,,,,,,
auth.hostgator.com.br,,200,1339,auth.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,auth.hostgator.com.br,cloudflare,443,https://auth.hostgator.com.br:443,https,cloudflare,text/html,GET,172.66.40.38,/,1181094066,2606:4700:3108::ac42:2826,HSTS,38,False,True,,,,,,
blog.hostgator.com.br,Tudo o que precisa saber sobre Hospedagem de Sites - HostGator Blog,200,149513,www.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,www.hostgator.com.br,cloudflare,443,https://blog.hostgator.com.br:443,https,cloudflare,text/html,GET,172.66.40.38,/,-1867190927,2606:4700:3108::ac42:2826,React,429,False,True,https://www.hostgator.com.br/blog/,,,,,
boletos.hostgator.com.br,,523,,boletos.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,boletos.hostgator.com.br,cloudflare,443,https://boletos.hostgator.com.br:443,https,cloudflare,,GET,172.66.43.218,/,-1840324437,2606:4700:3108::ac42:2bda,Cloudflare Bot Management,1,False,True,,,,,,
br00.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br00.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br00.hostgator.com.br,,443,https://br00.hostgator.com.br:443,https,Apache,text/html,GET,162.240.81.21,/,-1783708853,162.240.81.21,Bootstrap,44,False,,,,,,,
br10.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br10.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br10.hostgator.com.br,,443,https://br10.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.104,/,-1783708853,192.185.176.104,Bootstrap,44,False,,,,,,,
