input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,csp_domains_,tls_mismatched,final_url
05-97-7.dashboard.omise.co,403 Forbidden,403,118,05-97-7.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,05-97-7.dashboard.omise.co,,443,https://05-97-7.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
15-8-1.dashboard.omise.co,403 Forbidden,403,118,15-8-1.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,15-8-1.dashboard.omise.co,,443,https://15-8-1.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
17-121-115-86.dashboard.omise.co,403 Forbidden,403,118,17-121-115-86.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,17-121-115-86.dashboard.omise.co,,443,https://17-121-115-86.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
17-58-100-51.dashboard.omise.co,403 Forbidden,403,118,17-58-100-51.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,17-58-100-51.dashboard.omise.co,,443,https://17-58-100-51.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
3ds.omise.co,,404,,3ds.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-08T00:00:00Z,2024-06-08T23:59:59Z,CN=*.omise.co,*.omise.co,omise.co,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,8b49df999065a15134f7612aee92bebd,fabb5075af2fc3f61537c034952168c20ef92957b14e9158682641fa95a9ec55,ctls,3ds.omise.co,,443,https://3ds.omise.co:443,https,awselb/2.0,text/plain,GET,18.139.127.225,/,-1840324437,18.138.32.117,,1,False,,True,,,,
5d0a.dashboard.omise.co,403 Forbidden,403,118,5d0a.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,5d0a.dashboard.omise.co,,443,https://5d0a.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
8ea5.dashboard.omise.co,403 Forbidden,403,118,8ea5.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,8ea5.dashboard.omise.co,,443,https://8ea5.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
acc-development.dashboard.omise.co,403 Forbidden,403,118,acc-development.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,acc-development.dashboard.omise.co,,443,https://acc-development.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
ag-d-1-pip.dashboard.omise.co,403 Forbidden,403,118,ag-d-1-pip.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,ag-d-1-pip.dashboard.omise.co,,443,https://ag-d-1-pip.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
api.omise.co,,401,170,api.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-08T00:00:00Z,2024-06-08T23:59:59Z,CN=*.omise.co,*.omise.co,omise.co,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,8b49df999065a15134f7612aee92bebd,fabb5075af2fc3f61537c034952168c20ef92957b14e9158682641fa95a9ec55,ctls,api.omise.co,,443,https://api.omise.co:443,https,,application/json,GET,13.248.150.88,/,-1840324437,76.223.19.23,HSTS,7,False,,True,,,,
