input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_mismatched,csp_domains_,final_url,tls_self_signed,tls_expired
account.samsung.com,Samsung Account,200,1181,account.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-02-24T01:31:54Z,2024-03-27T01:31:53Z,"CN=support100.cdnetworks.net, O=CDNetworks Inc., L=Diamond Bar, ST=California, C=US",support100.cdnetworks.net,CDNetworks Inc.,*.sericeo.org,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,35177ae43fe034b59e57e98193de4ed8,4c26d0d33802acc47d528784206ffb681a6c86444093df573fe987383ccb4cae,True,ctls,account.samsung.com,,443,https://account.samsung.com:443,https,text/html,GET,163.171.132.168,/,1374457300,163.171.132.168,HSTS,25,False,,,True,https://www.samsung.com,https://account.samsung.com/membership,,
adn-stg.yourservice.samsung.com,Samsung Direct Payment,404,1393,adn-stg.yourservice.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,adn-stg.yourservice.samsung.com,,443,https://adn-stg.yourservice.samsung.com:443,https,text/html,GET,23.192.152.43,/,-957311541,23.192.152.43,Java,60,False,,,,,,,
ae.ecom.samsung.com,,404,60,ae.ecom.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-30T00:00:00Z,2024-07-30T23:59:59Z,"CN=ecom.in.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",ecom.in.samsung.com,"Samsung Electronics Co., Ltd.",www.ecom.in.samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,fc69f4f704422a57106aa1e4ace706d5,7177fb21ab0dbbc6ab8e587a8610cf1c81c43325857026b20161f50f78788dfc,,ctls,ae.ecom.samsung.com,,443,https://ae.ecom.samsung.com:443,https,application/json,GET,52.66.111.221,/,1390603384,13.232.176.14,,1,False,,,True,,,,
aem.samsung.com,AEM Sign In,200,15539,aem.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",*.samsung.com,"Samsung SDS Co., Ltd.",samsung.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,85b5da115b56f40b1a0a8e82e15ae38f,3e89f6d5617e797562a206673b8d8cfb45115b0bcb32806446c1d3e83c17d931,True,ctls,aem.samsung.com,,443,https://aem.samsung.com:443,https,text/html,GET,23.37.36.147,/,-687927475,23.37.36.147,Nginx,232,False,,nginx,,,https://aem.samsung.com/apps/samsungp5/login/content/login.html/?resource=%2F&$$login$$=%24%24login%24%24&j_reason=unknown&j_reason_code=unknown,,
alpha.samsung.com,New URL,200,253,,,,,,,,,,,,,,,,,,,,,80,http://alpha.samsung.com:80,http,text/html,GET,211.45.27.213,/,-601188306,211.45.27.213,,9,False,,Oracle-iPlanet-Web-Server/7.0,,url=http://www.samsungelectronics.com/semiconductors/Alpha_CPU/,,,
analytics.bigdata.samsung.com,403,403,134,analytics.bigdata.samsung.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-04-14T23:59:59Z,"CN=*.bigdata.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",*.bigdata.samsung.com,"Samsung Electronics Co., Ltd.",bigdata.samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ccac69a7651e66037b039eaa62f0eea,f0653da9198451fd76cd9d73965666818585e73210432c46cd8ddba18451454a,True,ctls,analytics.bigdata.samsung.com,google,443,https://analytics.bigdata.samsung.com:443,https,text/html,GET,34.120.23.240,/,1723221432,34.120.23.240,HTTP/3,1,False,True,,,,,,
ap-author.semiconductor.samsung.com,AEM Sign In,200,14189,ap-author.semiconductor.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,ap-author.semiconductor.samsung.com,,443,https://ap-author.semiconductor.samsung.com:443,https,text/html,GET,2.23.196.47,/,-1456735835,2a02:26f0:480:9a0::6ba,Amazon Web Services,440,False,,,,,https://ap-author.semiconductor.samsung.com/libs/granite/core/content/login.html?resource=%2F&$$login$$=%24%24login%24%24&j_reason=unknown&j_reason_code=unknown,,
ap.mpay.samsung.com,,404,,ap.mpay.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-12T23:59:59Z,"CN=*.mpay.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",*.mpay.samsung.com,"Samsung Electronics Co., Ltd.",mpay.samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d1ce47bb0677464877bb00666c156439,fff24975c2a2f92b356cd999028e0988f2cc8dda1ef4e62ebf322629db86230b,True,ctls,ap.mpay.samsung.com,,443,https://ap.mpay.samsung.com:443,https,text/plain,GET,35.173.3.127,/,-1840324437,34.196.204.169,,1,False,,awselb/2.0,,,,,
apahflfit2015.samsung.com,,200,,apahflfit2015.samsung.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-04T00:00:00Z,2023-11-29T23:59:59Z,"CN=apahflfit2015.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi, C=KR",apahflfit2015.samsung.com,"Samsung Electronics Co., Ltd.",www.apahflfit2015.samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,00513d9c674cece22d8d868945c98daa,e9ae7fbd738e2ff92598380a1839e96fed3ee3fb9923af742762fbdba9d4f70e,,ctls,apahflfit2015.samsung.com,incapsula,443,https://apahflfit2015.samsung.com:443,https,text/html,GET,45.223.19.142,/,1687861341,45.223.19.142,Nginx,1,False,True,nginx,,,,,
api-sa.samsung.com,,403,846,api-sa.samsung.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T00:00:00Z,2024-06-25T23:59:59Z,"CN=*.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",*.samsung.com,"Samsung Electronics Co., Ltd.",samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e1c5bf6bb7dc78f1d326bbdfbdde271b,d1c9cb4384ddab1a8724c7b7f01d04d376b06f728d2edeeb82635a449ff3638c,True,ctls,api-sa.samsung.com,incapsula,443,https://api-sa.samsung.com:443,https,text/html,GET,45.223.19.142,/,719510550,45.223.19.142,Imperva,1,False,True,,,,,,
