input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,final_url,cdn,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_expired
abb-test.transim.com,ABB | Power Module Wizard - Login,200,35992,abb-test.transim.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-29T00:00:00Z,2023-12-28T23:59:59Z,"CN=*.transim.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",*.transim.com,"Arrow Electronics, Inc",transim.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a2e709e7e48b2c5249818099dc49458b,bc62bdff61abe8f00e29eacb7e5774431fb51b568e6044a9a807a49eafec23ff,ctls,abb-test.transim.com,443,https://abb-test.transim.com:443,https,Microsoft-IIS/7.5,text/html,GET,104.42.221.30,/,1551964178,104.42.221.30,Windows Server,468,False,azure,https://abb-test.transim.com/login.aspx,True,,True,,
abb.transim.com,ABB | Power Module Wizard - Login,200,35964,abb.transim.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-29T00:00:00Z,2023-12-28T23:59:59Z,"CN=*.transim.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",*.transim.com,"Arrow Electronics, Inc",transim.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a2e709e7e48b2c5249818099dc49458b,bc62bdff61abe8f00e29eacb7e5774431fb51b568e6044a9a807a49eafec23ff,ctls,abb.transim.com,443,https://abb.transim.com:443,https,Microsoft-IIS/7.5,text/html,GET,137.135.18.76,/,1551964178,137.135.18.76,Windows Server,468,False,azure,https://abb.transim.com/login.aspx,True,,True,,
access.arrow.com,,200,70,access.arrow.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-21T00:00:00Z,2024-04-23T23:59:59Z,"CN=access.arrow.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",access.arrow.com,"Arrow Electronics, Inc",access.arrow.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,5a76eecf9bddee7f0f8463ef619de206,bcfde514d8e2e95017e025b8ad68db4e309ddd193fc34b8007ce3cee4c96f103,ctls,access.arrow.com,443,https://access.arrow.com:443,https,Oracle-HTTP-Server,text/html,GET,63.94.171.94,/,-366337701,63.94.171.94,Oracle HTTP Server,2,False,,,,,,,
act.arrow.com,,200,1,act.arrow.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=act.arrow.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",act.arrow.com,"Arrow Electronics, Inc",act.arrow.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,2ab8defe741ffe4eeab7e3792e94ec51,13fcf7296d86e1024359a4707e8b9f1e734d8be62ccda1292c63930c4d81de28,ctls,act.arrow.com,443,https://act.arrow.com:443,https,envoy,text/html,GET,193.45.11.9,/,1494302000,193.45.11.9,HSTS,2,False,,,,,,,
aepetsche.com,| A.E Petsche Co.,200,61830,www.aepetsche.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-26T23:59:59Z,"CN=www.aepetsche.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",www.aepetsche.com,"Arrow Electronics, Inc",www.aepetsche.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5fe3007c529bd662d7469426ecfc8bef,a712d337dbde028780a7dceb1263655097afa9f9ba685117d2b39d32d9e7a0de,ctls,www.aepetsche.com,80,http://aepetsche.com:80,http,nginx,text/html,GET,13.93.163.20,/,-1840324437,13.93.163.20,YouTube,885,False,azure,https://www.aepetsche.com/,True,,,,
alternativetechnology.arrow.com,404 - Not found or no permission to access,404,1330,alternativetechnology.arrow.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-05T00:00:00Z,2024-01-02T23:59:59Z,"CN=*.eloqua.com, O=Oracle Corporation, L=Redwood City, ST=California, C=US",*.eloqua.com,Oracle Corporation,*.eloqua.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3fbfeefce7683ba5af65885a4c8127d6,046da516e28172f9090c5a58326960c1e6027d501d0e978bf7ff247aa23df8bb,ctls,alternativetechnology.arrow.com,443,https://alternativetechnology.arrow.com:443,https,,text/html,GET,209.167.231.15,/,-1270699277,209.167.231.15,Bootstrap,33,False,,,,True,True,,
amazon.transim.com,403 - Access denied,403,3150,amazon.transim.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-29T00:00:00Z,2023-12-28T23:59:59Z,"CN=*.transim.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",*.transim.com,"Arrow Electronics, Inc",transim.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a2e709e7e48b2c5249818099dc49458b,bc62bdff61abe8f00e29eacb7e5774431fb51b568e6044a9a807a49eafec23ff,ctls,amazon.transim.com,443,https://amazon.transim.com:443,https,Microsoft-IIS/7.5,text/html,GET,137.135.18.76,/,-729409498,137.135.18.76,Windows Server,35,False,azure,,True,,True,,
analytics.transim.com,Sign In | Transim Analytics,200,3708,analytics.transim.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-29T00:00:00Z,2023-12-28T23:59:59Z,"CN=*.transim.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",*.transim.com,"Arrow Electronics, Inc",transim.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a2e709e7e48b2c5249818099dc49458b,bc62bdff61abe8f00e29eacb7e5774431fb51b568e6044a9a807a49eafec23ff,ctls,analytics.transim.com,443,https://analytics.transim.com:443,https,Microsoft-IIS/7.5,text/html,GET,137.135.18.76,/,-729409498,137.135.18.76,Windows Server,76,False,azure,https://analytics.transim.com/login?ReturnUrl=%2f,True,,True,,
api.arrow.com,HTTP Status 404 – Not Found,404,431,api.arrow.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-06-13T23:59:59Z,"CN=*.arrow.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",*.arrow.com,"Arrow Electronics, Inc",www.fiveyearsout.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,32f19d06e6ca84869295df9049688e60,fa5cd6912e28fa8f5149a2f5692d277e90dc9fe491aef52b916fbd52a3730854,ctls,api.arrow.com,443,https://api.arrow.com:443,https,,text/html,GET,216.150.168.133,/,-230353730,216.150.168.133,,1,False,,,,,True,,
api.aspencore.com,403 Forbidden,403,555,api.aspencore.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-26T00:00:00Z,2023-06-21T23:59:59Z,"CN=aspencore.com, O=Arrow Electronics\, Inc, L=Centennial, ST=Colorado, C=US",aspencore.com,"Arrow Electronics, Inc",*.aspencore.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,874fa1a2bd7f6db16ee9c43452363199,e155c15aa6d30476312d9a3e4e9a3a245ddc8ae11f01a862cf5f131086d8356a,ctls,api.aspencore.com,443,https://api.aspencore.com:443,https,nginx/1.22.1,text/html,GET,168.61.159.114,/,231531802,168.61.159.114,Nginx:1.22.1,14,False,azure,,True,,True,,
