input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,final_url,csp_domains_
360ev.originenergy.com.au,Loading...,200,5004,360ev.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-12-29T23:59:59Z,CN=360ev.originenergy.com.au,360ev.originenergy.com.au,360ev.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3915b18d92b138368fda52fb5d5f21d6,5807dae9c322f74787776d70b1364b8f53fb95251a3a17b4d3a5ac943433f13b,ctls,360ev.originenergy.com.au,cloudfront,443,https://360ev.originenergy.com.au:443,https,AmazonS3,text/html,GET,13.32.27.87,/,1110877514,13.32.27.119,Amazon Web Services,1,False,True,,,,,
anmet.originenergy.com.au,,200,,anmet.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-20T00:00:00Z,2023-12-21T23:59:59Z,"CN=sanmet.originenergy.com.au, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",sanmet.originenergy.com.au,anmet.originenergy.com.au,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2c275bf9fe64527df14f4a9b0cc6f25d,3d984e8f8615732c057593126571823b1debda03ccd2b0b9892fa080769cb94a,ctls,anmet.originenergy.com.au,,443,https://anmet.originenergy.com.au:443,https,jag,,GET,63.140.62.164,/,1936786007,63.140.62.160,HSTS,1,False,,,Adobe Systems Incorporated,,,
api-braze-dev.jindabyne.originenergy.com.au,,403,23,api-braze-dev.jindabyne.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-07T23:59:59Z,CN=api-braze-dev.jindabyne.originenergy.com.au,api-braze-dev.jindabyne.originenergy.com.au,api-braze-dev.jindabyne.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1b41e728e36be8728407bd82ea5a8bd0,4f73aefed3b274e9b4c406d28d90f288c79b17d4ccb5b7d809def0bc629c6142,ctls,api-braze-dev.jindabyne.originenergy.com.au,,443,https://api-braze-dev.jindabyne.originenergy.com.au:443,https,,application/json,GET,3.104.212.121,/,968070783,54.66.102.80,,1,False,,,,,,
api-braze-prod.jindabyne.originenergy.com.au,,403,23,api-braze-prod.jindabyne.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-07-22T23:59:59Z,CN=api-braze-prod.jindabyne.originenergy.com.au,api-braze-prod.jindabyne.originenergy.com.au,api-braze-prod.jindabyne.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9d8dde31b1f1013e9e6a53aec3159bcc,2099d905d84c54629c0debc1a6abadfa48338e0dc29b1bde977a9e532a12ccee,ctls,api-braze-prod.jindabyne.originenergy.com.au,,443,https://api-braze-prod.jindabyne.originenergy.com.au:443,https,,application/json,GET,54.79.98.60,/,968070783,3.24.92.232,,1,False,,,,,,
api-dev.originenergy.com.au,503 Service Temporarily Unavailable,503,162,api-dev.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-01T23:59:59Z,CN=int-dev.originenergy.com.au,int-dev.originenergy.com.au,int-dev.originenergy.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcde4aacf0e5d8498c95821ddde3f953,762dd6257ad17c30105cb60d161fb776f265a6b628e293bf34f66716c92ea4f4,ctls,api-dev.originenergy.com.au,,443,https://api-dev.originenergy.com.au:443,https,awselb/2.0,text/html,GET,52.65.182.151,/,1862162275,52.65.182.151,,7,False,,True,,,,
api-prod.origindigital-pac.com.au,,403,243,api-prod.origindigital-pac.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-04T23:59:59Z,CN=api.originenergy.com.au,api.originenergy.com.au,api-prod.origindigital-pac.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,79e9a0b851e26709642c373ea5d71597,981981f18797834d8df705f55a5aa935f8806212da30bab0f08b49aba8d8d5c1,ctls,api-prod.origindigital-pac.com.au,cloudfront,443,https://api-prod.origindigital-pac.com.au:443,https,AmazonS3,application/xml,GET,18.66.122.85,/,1896548071,2600:9000:2250:3a00:13:3bbb:8340:93a1,Amazon Web Services,2,False,True,,,,,
api.originenergy.com.au,,403,243,api.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-04T23:59:59Z,CN=api.originenergy.com.au,api.originenergy.com.au,api-prod.origindigital-pac.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,79e9a0b851e26709642c373ea5d71597,981981f18797834d8df705f55a5aa935f8806212da30bab0f08b49aba8d8d5c1,ctls,api.originenergy.com.au,cloudfront,443,https://api.originenergy.com.au:443,https,AmazonS3,application/xml,GET,18.66.122.70,/,836567270,2600:9000:2250:3200:13:3bbb:8340:93a1,Amazon Web Services,2,False,True,,,,,
assets-digital.origindigital-pac.com.au,,403,243,assets-digital.origindigital-pac.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-09-03T23:59:59Z,CN=static.originenergy.com.au,static.originenergy.com.au,assets.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4423e02f200c252c74149a4098598a4b,c5cccc62b49185969433a642005500457da12093be1a5edca100336ad2f8cfdb,ctls,assets-digital.origindigital-pac.com.au,cloudfront,443,https://assets-digital.origindigital-pac.com.au:443,https,AmazonS3,application/xml,GET,13.249.9.18,/,525268596,13.249.9.65,Amazon Web Services,2,False,True,,,,,
assist.originenergy.com.au,,200,8018,assist.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-11T23:41:23Z,2024-05-12T23:40:23Z,CN=assist.originenergy.com.au,assist.originenergy.com.au,assist.originenergy.com.au,"emailAddress=ca@trustwave.com, CN=Trustwave Domain Validation SHA256 CA\, Level 1, O=Trustwave Holdings\, Inc., L=Chicago, ST=Illinois, C=US, emailAddress=ca@trustwave.com","Trustwave Domain Validation SHA256 CA, Level 1","Trustwave Holdings, Inc.",20aaa7c9a97807eeac9460cc87ba9179,84f23d0fd583ef45adfda37e5e67ce3a49480330ba6ebb2d3e05f4c208ead028,ctls,assist.originenergy.com.au,,443,https://assist.originenergy.com.au:443,https,,text/html,GET,3.104.254.41,/,1120400376,13.239.106.54,PayPal,39,False,,,,,https://assist.originenergy.com.au/unauthorized,https://www.sandbox.paypal.com
auth.api.originenergy.com.au,,403,23,auth.api.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-29T23:59:59Z,CN=wildcard.api.originenergy.com.au,wildcard.api.originenergy.com.au,*.api.origindigital-pac.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3724c1d5be2ab1dfaf1d5f5ab1520a8e,1bc27da40d0df53f9ca6cabf5db58e3ed5f61d2d72c4aa25a84a4217eabaae91,ctls,auth.api.originenergy.com.au,cloudfront,443,https://auth.api.originenergy.com.au:443,https,,application/json,GET,13.32.110.70,/,968070783,2600:9000:223e:cc00:f:1480:5ac0:93a1,Amazon Web Services,1,False,True,,,True,,
