input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched,tls_subject_org_
*.api.drift.com,,404,96,api.drift.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=driftapi.com,driftapi.com,api.drift.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,710f019d957a558453ac9704a59699f8,4af473358c25b2badbf42d3b1d65f3e234d6b6ce5d391df173d195c8e59a8a3d,True,ctls,api.drift.com,,443,https://api.drift.com:443,https,kong/0.11.1,application/json,GET,107.23.6.235,/,-1680523697,3.211.225.235,,2,False,,,,True,
api-dev.gmelius.com,UISP,200,12553,api-dev.gmelius.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-02T06:39:58Z,2023-09-30T06:39:57Z,CN=gmelius.com,gmelius.com,*.gmelius.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,2e9435f85ce4c9acff2c4de120102dfe,132ebac3ce9f753fb7f18d132b2149c29a72b690a98b09965c9b54d983de512d,True,ctls,api-dev.gmelius.com,cloudflare,443,https://api-dev.gmelius.com:443,https,cloudflare,text/html,GET,188.114.96.3,/,-487056747,2a06:98c1:3120::3,HTTP/3,11,False,True,maps.gstatic.com,https://api-dev.gmelius.com/nms/,,
api-staging.gmelius.com,,200,,api-staging.gmelius.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-02T06:39:58Z,2023-09-30T06:39:57Z,CN=gmelius.com,gmelius.com,*.gmelius.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,2e9435f85ce4c9acff2c4de120102dfe,132ebac3ce9f753fb7f18d132b2149c29a72b690a98b09965c9b54d983de512d,True,ctls,api-staging.gmelius.com,cloudflare,443,https://api-staging.gmelius.com:443,https,cloudflare,text/html,GET,188.114.97.3,/,381665567,2a06:98c1:3121::3,HTTP/3,1,False,True,,,,
api.gmelius.com,,200,,api.gmelius.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-02T06:39:58Z,2023-09-30T06:39:57Z,CN=gmelius.com,gmelius.com,*.gmelius.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,2e9435f85ce4c9acff2c4de120102dfe,132ebac3ce9f753fb7f18d132b2149c29a72b690a98b09965c9b54d983de512d,True,ctls,api.gmelius.com,cloudflare,443,https://api.gmelius.com:443,https,cloudflare,text/html,GET,188.114.96.3,/,381665567,2a06:98c1:3121::3,HTTP/3,1,False,True,,,,
changelog.gmelius.com,,404,26,,,,,,,,,,,,,,,,,,,google,80,http://changelog.gmelius.com:80,http,,,GET,35.207.24.13,/,1210513009,35.207.24.13,,1,False,True,,,,
cloud.gmelius.com,Gmelius 404 Error,404,2556,cloud.gmelius.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-02T06:39:58Z,2023-09-30T06:39:57Z,CN=gmelius.com,gmelius.com,*.gmelius.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,2e9435f85ce4c9acff2c4de120102dfe,132ebac3ce9f753fb7f18d132b2149c29a72b690a98b09965c9b54d983de512d,True,ctls,cloud.gmelius.com,cloudflare,443,https://cloud.gmelius.com:443,https,cloudflare,text/html,GET,188.114.96.3,/,196692446,2a06:98c1:3120::3,HTTP/3,51,False,True,,,,
community.gmelius.com,Knowledge Base Software - HelpDocs,200,51607,www.helpdocs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-16T20:10:44Z,2023-09-14T20:10:43Z,CN=www.helpdocs.io,www.helpdocs.io,www.helpdocs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5a65c84b7598c18b3f9a108ba3126648,ae645fd9e3c92a701780f5fae4bbea314ddf446445f6682882f0577b76206435,,ctls,www.helpdocs.io,cloudflare,443,https://community.gmelius.com:443,https,,text/html,GET,188.114.96.3,/,2089033898,2a06:98c1:3121::3,Webflow,286,False,True,,https://www.helpdocs.io?code=404&failed=1&reason=Whoah+there+cowboy%2C+we+don%27t+recognize+that+domain+%F0%9F%A4%A0,,
data.gmelius.com,Sign in - Google Accounts,200,612932,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,True,ctls,accounts.google.com,google,443,https://data.gmelius.com:443,https,ESF,text/html,GET,34.111.198.76,/,-772761688,34.111.198.76,HTTP/3,76,False,True,,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S2098049506%3A1689651036120169&client_id=868677996125-8leq4fc0lbpri5up1i5hogjmtejjukgk.apps.googleusercontent.com&code_challenge=nLe_odk_B1P74kgvcGrlOzyvZBtbX1PQRdpWnosrJBo&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F868677996125-8leq4fc0lbpri5up1i5hogjmtejjukgk.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AWdvEPAE7waEZawT8QiZ7FdwDMJOW1pidA21JkVAFXKfCiQ8vY9qbVheVHEsC6oRNyWjGCgcueDa6iY7AiCSiU5rmvJJJpmGXI3_nEFDm9XpK0v1OgnXz3Jb0yqhqBh2wuvTEfU52RgaHDjCuBlR33DNywVu_CG7zlFZFmFsthh0gTfqaoRgQbDwtiJSkaYTbZBRLV-EunaSPSVioCxphCsH6xBTWHFxP-s-MLq_YB3DZktj9AHOJLftD1-cYcbo0aSLClcy0r9yeHfLW8mss7vgHXw__rpqcYopYElcAnHr4Tr4iE0pgHcnNGL16GzY1UZaUe7KEhyrnaX1ToNv26gh9rW65NDBa5nABlzurFQB4ONhQJ_ec05NyPZ7XxtOdAOp26LsBf62QPZ2l5j8REjKb5N8KBRa60yiDPn70XRVySwykAcQDrr4a0Y8_4s7jaLwhYSHHr6vH2g3qSIM-F4OahvzISueJ9KwTD9VKVj_7EFQNe26dxstqxOBVwfQuT9xKrOiHsgCyZSLPmKRUqf3H3INPLW_WSWIB7g9MdK3uUWC9-xGo4YH5jOVo0ttaMRQ0ViK-pRX9zNOtJiF1ARWiMOqsCWafPYdL3shH3pc6Fd-U4oImvJ2IKnmZGBXxj9_nJ7oXMfg0EuxQLBX85W2D2Zh0idmUsQFyg8NG-NDIFlbcGQjPjdO275Dtz5SqNWo0kNMKMccsQfIlzZj_LYRBXDdZqJt8TN5CU4o5Q0fiOLh-xhF8QZ7z7ot4MI5ITfV-q6UHlOydpbguRzwyO4sDambYBAYBbjACnkgWGPIl57G1f3R92O-HJMZ-Yaj3G3jYltdSWxUGlBBzkQmuZwcK7o4Turts8H3s8w6QJ_PpkchwatiV4WmoOxGhl3ge-PMhUDdvhLhI1lMe-3h_4efPrybGn0qaXsJhsKARsJkVSlpiRiuMmi2hP3vnI934VnZ6ys6r5_oDHAyS49eOchrAvnu02qW5k77CD_qiHYD0sEk4F_1Ifpuk-ZVogliMIf-c4sWYY8&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAN99itKIujYwwF8BAHJIn2XhRzrfwxJVea4Pd-gvaw1jgbMq5j0JjF4hUlmA7v-hMD6_IY11KXzx3yHb9WfYw9soRFtFneGcHEvHVUV_gVzhs3c_k7MueHQt9ELaq7zJgtQmx8zlDSdx5iDJJrUcwSz4HKr4MexAKhxA2VIZek8QDgET5ykp-VeqB9xK_msIeqLYeSKxVCFKOYID2PCaOlUlur_vkQjsPXjwb6Q00JoYnH_zOWaqFuZBJBOXIgyBUsKPrTyDyFxy4D4m2cG5Pkkz75kWRTZgAE_972SOoNRn9UGVvpGnwvEFQ2toJcMx-ztlhpsRD3rkhUQYm2Pbjl8uUWzxf4Vl0-pPo0fhTRHjsxVZBJS3OzfXAnkKXKvn-761siYE6tB2bO9kKQS6WtzQs1lr1_7q51ajhxAXPStbSSTmkhp5cUTCiD93yPIPfcfX3cKwg6KvmFuduF7O5xyQOnadw%26as%3DS2098049506%253A1689651036120169%26client_id%3D868677996125-8leq4fc0lbpri5up1i5hogjmtejjukgk.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxcdJdnKTxaHo3VB53FAdrNg806B-Lw1N1QokFyBdV9u82j4CP4MF1P9Oo6mVnFlC7uwtO2HKHqHSfeJgeLSI0KdsCB8rTg,,
developers.gmelius.com,Gmelius API documentation,200,848858,developers.gmelius.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-16T09:23:01Z,2023-10-14T10:21:32Z,CN=referral.eblocky.sk,referral.eblocky.sk,www.cloudnine.gq,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,21f44ac21b1d8d1222e537d68cd2ebeb,67b7122878b3f79b6d45a14adf16e838b913e8e22097d3aea9083d195952b131,,ctls,developers.gmelius.com,fastly,443,https://developers.gmelius.com:443,https,,text/html,GET,151.101.65.195,/,124656812,151.101.1.195,HTTP/3,11396,False,True,,,,
hello.gmelius.com,Open main menu,404,44990,hello.gmelius.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-27T15:57:35Z,2023-08-25T15:57:34Z,CN=hello.gmelius.com,hello.gmelius.com,hello.gmelius.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,971ec429af32ed662ef95acd0139f97a,522023496bfd02a8c1411c6542e0536dea88886bc1adf9f730ce6ed07cac0fec,,ctls,hello.gmelius.com,,443,https://hello.gmelius.com:443,https,cloudflare,text/html,GET,199.60.103.228,/,161850859,2606:2c40::c73c:671c,HubSpot CMS Hub,2141,False,,,,,
