new,host,ttl,a,cname,soa,status_code,txt,mx,ns,caa,cdn,cdn-name,aaaa,has_internal_ips,internal_ips,ptr
[x],aaa.geo.t-mobile.com,180.0,208.54.99.145,,"{'name': 'geo.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2022041202, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'geo.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2022041202, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'geo.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2022041204, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,,,,,,
[x],acms.message.t-mobile.com,300.0,45.60.155.103,xje2nqt.x.incapdns.net,"{'name': 'incapdns.net', 'ns': 'ns1.incapdns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 1001, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'x.incapdns.net', 'ns': 'ns1.x.incapdns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 5, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}, {'name': 'x.incapdns.net', 'ns': 'ns1.x.incapdns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 5, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,,,2a02:e980:107::67,,,
[x],alm.vpn.t-mobile.com,300.0,"208.54.128.14, 208.54.116.14",,"{'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}",NOERROR,,,,,,,,,,
[x],api-eng-runprod.msg.t-mobile.com,30.0,,,"{'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011916, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011918, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011918, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011916, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}",NOERROR,api-eng-runprod.msg.t-mobile.com,,,,,,2607:fb90:c13e:300::32,,,
[x],api-eng-runuatstg.msg.t-mobile.com,30.0,208.54.108.41,,"{'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011916, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011918, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011918, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011918, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'msg.t-mobile.com', 'ns': 'geo3.t-mobile.com', 'mailbox': 'hostmaster.geo3.t-mobile.com', 'serial': 2024011916, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}",NOERROR,api-eng-runuatstg.msg.t-mobile.com,,,,,,2607:fb90:c13f:300::38,,,
[x],api.enterpriseportal.t-mobile.com,300.0,45.60.155.127,d63xfeq.impervadns.net,"{'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",NOERROR,,,,,,,2a02:e980:107::7f,,,
[x],apigwsmg.t-mobile.com,300.0,,"apigwsmg.t-mobile.com.edgekey.net, e251650.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1718986828, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1718986830, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1718986830, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1718986830, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1718986830, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,,,,,
[x],awverify.sidekick.t-mobile.com,300.0,"208.167.233.58, 173.199.96.96, 173.199.96.97","tmo-sidekick-lb.trafficmanager.net, onepingedangel.com","{'name': 'onepingedangel.com', 'ns': 'ns1.vultr.com', 'mailbox': 'dnsadm.choopa.com', 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'onepingedangel.com', 'ns': 'ns1.vultr.com', 'mailbox': 'dnsadm.choopa.com', 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,onepingedangel.com,"ns1.vultr.com, ns2.vultr.com",,,,"2001:19f0:ccd::1, 2001:19f0:ccd::2",,,
[x],bfapi1-simplycomputermerchants.uccenv4.uccstg.t-mobile.com,28800.0,,uccas.uccenv4.uccstggeo.t-mobile.com,,NOERROR,,,,,,,,,,
[x],bhwtesting.t-mobile.com,300.0,20.99.145.153,,"{'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}, {'name': 't-mobile.com', 'ns': 'anppol31.gsm1900.org', 'mailbox': 'admin.t-mobile.com', 'serial': 3334552501, 'refresh': 28800, 'retry': 1800, 'expire': 3600000, 'minttl': 900}",NOERROR,,,,,,,2603:1030:c02:8::,,,
