new,host,a,soa,status_code,cname,mx,ns,txt,caa,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],17-121-124-95.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],addl.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],authelb-elasticbeanstalk-nov-accountswebproxy.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40",,NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],betav2.service.newrelic.com,"162.247.242.39, 162.247.242.40, 162.247.242.38","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],chi-staging-insights-collector.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],cms-o3.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],code.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],corporate-backupconfig.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],diagnostics.staging-service.newrelic.com,"18.224.224.227, 3.22.85.221, 3.143.41.234, 3.139.209.181, 3.136.254.97, 18.189.241.80",,NOERROR,"staging.service.nucleus.newrelic.com, staging.nucleus-lb.newrelic.com",,,,,,,,,
[x],economicdashboard.service.newrelic.com,"162.247.242.39, 162.247.242.40, 162.247.242.38","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],engineering-ww0.mobile-collector.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],fastly-trace-api.eu.newrelic.com,185.221.87.19,,NOERROR,,,,,,,,,,
[x],fbhx1-1.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],h-135-197-192-31.service.newrelic.com,"162.247.242.39, 162.247.242.40, 162.247.242.38","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],h-135-207-255-16.service.newrelic.com,"162.247.242.40, 162.247.242.39, 162.247.242.38","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],ibm13.service.newrelic.com,"162.247.242.39, 162.247.242.40, 162.247.242.38",,NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],issues.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40",,NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],mssql.service.newrelic.com,"162.247.242.39, 162.247.242.40, 162.247.242.38","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],oxy-oxygen-481e264b.service.newrelic.com,"162.247.242.40, 162.247.242.38, 162.247.242.39","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],proddevops-redirect.mobile-collector.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],qa.staging-service.newrelic.com,162.247.242.170,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.staging-service.newrelic.com,,,,,,,,,
[x],redirectengineering-alpha-loginaccept-domain.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],s1.service.newrelic.com,"162.247.242.40, 162.247.242.38, 162.247.242.39","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],server.service.newrelic.com,"162.247.242.39, 162.247.242.40, 162.247.242.38","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],shop.service.newrelic.com,"162.247.242.38, 162.247.242.40, 162.247.242.39","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],sondo.mobile-collector.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],sourcemaps.service.newrelic.com,"52.54.167.246, 3.232.103.171, 34.201.255.68, 54.91.113.227","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"wildcard.service.awsdev.nr-ops.net, mesh-sg-prod-ext-alb-1616017768.us-east-1.elb.amazonaws.com",,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,,,
[x],spectrum.mobile-collector.newrelic.com,0.0.0.0,"fake-for-negative-caching.adguard.com, hostmaster.spectrum.mobile-collector.newrelic.com",NOERROR,,,,,,::,,,True,0.0.0.0
[x],spectrum.staging-mobile-collector.newrelic.com,162.247.241.3,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],spectrum.tls10.newrelic.com,162.247.241.1,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],test3.newrelic.com,162.247.242.169,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,staging-shared.newrelic.com,,,,,,,,,
[x],tor35-39-pda.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],tor375-455-pda.mobile-collector.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],tor6-10-pdd.service.newrelic.com,"162.247.242.39, 162.247.242.40, 162.247.242.38","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],tyouseiekidenouen.mobile-collector.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],us-east-1.staging-service.newrelic.com,162.247.242.170,,NOERROR,wildcard.staging-service.newrelic.com,,,,,,,,,
