new,host,a,cname,soa,status_code,ns,has_internal_ips,internal_ips,cdn,cdn-name,aaaa,mx,txt,caa
[x],auth-downloads.sophos.com,195.171.192.219,,"asia1.akam.net, hostmaster.sophos.com",NOERROR,,,,,,,,,
[x],dksmilogroup.com,"185.230.63.171, 185.230.63.107, 185.230.63.186",,"ns12.wixdns.net, support.wix.com",NOERROR,"ns13.wixdns.net, ns12.wixdns.net",,,,,,"alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com",google-site-verification=mjHojFIV525X2m7fj_0STV1DSWgTsyb-BNpmMdHP5PQ,
[x],emeaav.sophos.com,"185.19.101.107, 185.19.101.102",,"asia1.akam.net, hostmaster.sophos.com",NOERROR,,,,,,,,,
[x],eu.optix.sophos.com,"13.32.121.12, 13.32.121.111, 13.32.121.81, 13.32.121.97",,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
[x],farice.link.sophos.com,"52.17.233.152, 52.51.55.93",it-gis-pl-plinkelb-1s9sqtiykj6fr-789403841.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],logs.link.sophos.com,"52.51.55.93, 52.17.233.152",it-gis-pl-plinkelb-1s9sqtiykj6fr-789403841.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],origin-secure2.sophos.com,195.171.192.23,,"asia1.akam.net, hostmaster.sophos.com",NOERROR,,,,,,,,,
[x],production1.link.sophos.com,"52.17.233.152, 52.51.55.93",it-gis-pl-plinkelb-1s9sqtiykj6fr-789403841.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],sip.surfright.nl,52.112.64.11,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,"2603:1037::b, 2603:1037:0:15::c, 2603:1037:0:c::f, 2603:1037:0:2::b, 2603:1037:0:7::b, 2603:1037:0:5::b, 2603:1037:0:a::b, 2603:1037:0:6::b",,,
[x],test-www.astaro.de,213.144.15.4,,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],vpn-us.sophos.com,63.109.82.131,,"asia1.akam.net, hostmaster.sophos.com",NOERROR,,,,,,,,,
,00ck3d5r.stn030bom.ctr.sophos.com,"172.28.28.133, 172.28.54.36",internal-tf-p-xge-url-pmgr-a4c2d593-382648983.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,True,"172.28.28.133, 172.28.54.36",,,,,,
,00lyv17x.cloudstation.eu-west-1.dev.hydra.sophos.com,"172.19.166.48, 172.19.221.61",internal-tf-p-xge-snd-rpt-pmgr-99d19b1c-1481132424.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,True,"172.19.166.48, 172.19.221.61",,,,,,
,017qhiy3.stn100hnd.ctr.sophos.com,"172.28.57.36, 172.28.67.198, 172.28.2.20",internal-mtr-events-worker-v1-647037212.ap-northeast-1.elb.amazonaws.com,"ns-1683.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,"172.28.57.36, 172.28.67.198, 172.28.2.20",,,,,,
,02iceum1.cloudstation.us-east-2.prod.hydra.sophos.com,"172.21.200.84, 172.21.130.117, 172.21.173.92",internal-tf-p-cfs-inbound-6bf9cb8d-944223451.us-east-2.elb.amazonaws.com,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,True,"172.21.200.84, 172.21.130.117, 172.21.173.92",,,,,,
,031k8zz8.cloudstation.us-west-2.qa.hydra.sophos.com,"52.38.90.140, 35.84.247.96, 52.26.210.150",tf-tcell-test-67080bf4-1116222175.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
