input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_self_signed,tls_mismatched,tls_subject_org_,final_url,tls_wildcard_certificate,csp_domains_,location,tls_expired
activity-feed.hm-dev.ecobee.com,404 Not Found,404,146,activity-feed.hm-dev.ecobee.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-20T20:18:14Z,2024-07-19T20:18:14Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,dee665c45a31be63cf866e8170fb8b80,7c8e4edbae07592747665e462563ec6f1e6a4deebfe29f265444c124a962a844,ctls,activity-feed.hm-dev.ecobee.com,google,443,https://activity-feed.hm-dev.ecobee.com:443,https,text/html,GET,35.226.72.55,/,1494302000,35.226.72.55,HSTS,8,False,True,,True,True,Acme Co,,,,,
activity-feed.hm-stage.ecobee.com,404 Not Found,404,146,activity-feed.hm-stage.ecobee.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-03T03:02:56Z,2023-09-01T03:02:55Z,CN=activity-feed.hm-stage.ecobee.com,activity-feed.hm-stage.ecobee.com,activity-feed.hm-stage.ecobee.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,91479938843f3771a3a7844d85710c3a,83971ae43485d179847ac7f72d6e7dff1b8cb4782796c019764f3d02b0529cfe,ctls,activity-feed.hm-stage.ecobee.com,google,443,https://activity-feed.hm-stage.ecobee.com:443,https,text/html,GET,34.170.3.31,/,1494302000,34.170.3.31,HSTS,8,False,True,,,,,,,,,
adc.ecobee.com,,401,12,adc.ecobee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T15:55:06Z,2023-10-10T16:40:34Z,CN=adc.ecobee.com,adc.ecobee.com,adc.ecobee.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7252d93cda074582b5674e84974d5949,cce812e4894b6651b536cb349f8fa8b48a1be395690b19bbaf2e047941ecd1b3,ctls,adc.ecobee.com,,443,https://adc.ecobee.com:443,https,text/plain,GET,142.250.186.83,/,229361783,2a00:1450:4001:813::2013,Node.js,1,False,,Google Frontend,,,,,,,,
admin.pl-prod.ecobee.com,,401,37,admin.pl-prod.ecobee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-11T08:44:14Z,2023-10-09T09:37:28Z,CN=admin.pl-prod.ecobee.com,admin.pl-prod.ecobee.com,admin.pl-prod.ecobee.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,81fbbad482f1610b44eda70a43b57299,f0d986e824557282de81214e5713b3041754f814435615c8f60833246879713a,ctls,admin.pl-prod.ecobee.com,google,443,https://admin.pl-prod.ecobee.com:443,https,application/json,GET,34.107.187.168,/,-404855114,34.107.187.168,HTTP/3,1,False,True,,,,,,,,,
admin.pl-stage.ecobee.com,,401,37,admin.pl-stage.ecobee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-21T01:06:35Z,2023-10-19T02:00:29Z,CN=admin.pl-stage.ecobee.com,admin.pl-stage.ecobee.com,admin.pl-stage.ecobee.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,2fe23f5bca01df68fd23972d10e796f5,f4893d926ec920c189b30bdeeeef9818029beb0b214f4d1eab8e2d2f5e7824dd,ctls,admin.pl-stage.ecobee.com,google,443,https://admin.pl-stage.ecobee.com:443,https,application/json,GET,34.107.213.132,/,-404855114,34.107.213.132,HTTP/3,1,False,True,,,,,,,,,
airfilter.hs-dev.ecobee.com,,404,21,airfilter.hs-dev.ecobee.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-18T14:02:12Z,2024-07-17T14:02:12Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,c72c93bbac14106c96920e8f23175238,4ad5d539d55ee440b86595ff631a5e78db6ed34cfb585d87d4e78b5045922273,ctls,airfilter.hs-dev.ecobee.com,google,443,https://airfilter.hs-dev.ecobee.com:443,https,text/plain,GET,34.122.131.67,/,-1669793162,34.122.131.67,HSTS,1,False,True,,True,True,Acme Co,,,,,
airfilter.hs-stage.ecobee.com,,404,21,airfilter.hs-stage.ecobee.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-04T18:47:42Z,2023-09-02T18:47:41Z,CN=airfilter.hs-stage.ecobee.com,airfilter.hs-stage.ecobee.com,airfilter.hs-stage.ecobee.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,479c1c4e252fb6731e9194f65d319c14,3e732c582cfa793dbf6f54f944736e98efc623a9821c9b4fb66f78f2ebb37453,ctls,airfilter.hs-stage.ecobee.com,google,443,https://airfilter.hs-stage.ecobee.com:443,https,text/plain,GET,34.122.131.67,/,-1669793162,34.122.131.67,HSTS,1,False,True,,,,,,,,,
airfilters.ecobee.com,Rebrandly,200,3763,airfilters.ecobee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-29T15:01:12Z,2023-09-27T15:01:11Z,CN=airfilters.ecobee.com,airfilters.ecobee.com,airfilters.ecobee.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c10154b308827373e5e8155b5747786,d83708fabd19f31441bd646b9f3f96401afb9f99e5162b7cf9c19d1f8f5b7dac,ctls,airfilters.ecobee.com,,443,https://airfilters.ecobee.com:443,https,text/html,GET,52.72.49.79,/,-1787804681,52.72.49.79,HSTS,84,False,,AmazonS3,,,,https://airfilters.ecobee.com/?rb.routing.mode=proxy&rb.routing.signature=625850,,,,
akuanduba.pl-prod.ecobee.com,,404,74,akuanduba.pl-prod.ecobee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T16:34:41Z,2023-10-18T17:28:15Z,CN=akuanduba.pl-prod.ecobee.com,akuanduba.pl-prod.ecobee.com,akuanduba.pl-prod.ecobee.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,f482f21dd696db1a67825d13e6e65882,84dbd9ffd8a73f300c2a09a724e7390305ceda7193a42ef745ff9218b3519775,ctls,akuanduba.pl-prod.ecobee.com,google,443,https://akuanduba.pl-prod.ecobee.com:443,https,text/plain,GET,34.102.185.191,/,-1446740353,34.102.185.191,HTTP/3,2,False,True,,,,,,,,,
akuanduba.pl-stage.ecobee.com,,404,74,akuanduba.pl-stage.ecobee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T07:20:19Z,2023-08-31T08:13:32Z,CN=akuanduba.pl-stage.ecobee.com,akuanduba.pl-stage.ecobee.com,akuanduba.pl-stage.ecobee.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,a5b9d6370cdce7f9358d138775fc43a8,db31a91d57af336261f1f8e3639e2671bfcfe4a1daac8592cdc015150a39b891,ctls,akuanduba.pl-stage.ecobee.com,google,443,https://akuanduba.pl-stage.ecobee.com:443,https,text/plain,GET,35.244.189.234,/,-1446740353,35.244.189.234,HTTP/3,2,False,True,,,,,,,,,
