input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,final_url,csp_domains_
autodiscover.natur.com,Sign in to Outlook,200,38552,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,,80,http://autodiscover.natur.com:80,http,text/html,GET,40.99.150.40,/,-1249852061,2603:1026:c0d:c06::8,HSTS,95,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=e7be6517-aae8-849a-d03a-dee556b9b05b&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=natur.com&nonce=638261957370368737.c20947bf-8e00-425a-80e9-fbff3e16679c&state=DYtJDsMgDAChfUt7I3EgseEQ9S0OMVKlpkhk6ffrw8ycxhpj7spNsaAyhCF6HNJEgSBg1HTZQxppKS4KgBv9xC6CJFeWUoIMiJSy1ffR1x_3ryb82eYvH2frct2e1zrzedT1ved6SfsD,
enterpriseenrollment.natur.com,Microsoft Intune admin center,200,42134,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,,ctls,intune.microsoft.com,,443,https://enterpriseenrollment.natur.com:443,https,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,,https://intune.microsoft.com/,
enterpriseregistration.natur.com,Service,404,1565,enterpriseregistration.natur.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,Microsoft Corporation,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,True,ctls,enterpriseregistration.natur.com,azure,443,https://enterpriseregistration.natur.com:443,https,text/html,GET,40.126.32.131,/,-2070773535,2603:1027:1:148::b,HSTS,14,False,True,,,
https://bat.bing.com,MSN,200,38230,www.msn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-08T23:53:46Z,2023-09-08T23:53:46Z,CN=*.msn.com,*.msn.com,,*.msn.com.cn,"CN=Microsoft RSA TLS CA 01, O=Microsoft Corporation, C=US",Microsoft RSA TLS CA 01,Microsoft Corporation,bcf3f3ae5488dc6542289238fda18e98,8506ab3f9b6c840bf43b944b046683ee305041011c476e05ca2c67cd454f2f7a,True,ctls,www.msn.com,,443,https://bat.bing.com:443,https,text/html,GET,204.79.197.200,/,1274734426,2620:1ec:c11::200,,77,False,,,https://www.msn.com/de-de,windows.msn.cn
https://naturcom.report-uri.com/r/d/csp/enforce,Report URI: Welcome to report-uri.com,200,30914,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-03T22:25:38Z,2023-09-01T22:25:37Z,CN=report-uri.com,report-uri.com,,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1d0f8e4f5bf9633cdbfcbb6583324bda,9ddeca2dc60531cc71041b4d46618852ba3dad85373f43a2cd6bce4cddd18469,True,ctls,report-uri.com,cloudflare,443,https://naturcom.report-uri.com:443/r/d/csp/enforce,https,text/html,GET,104.17.182.88,/r/d/csp/enforce,-1119620134,2606:4700::6811:b958,HTTP/3,534,False,True,cloudflare,https://report-uri.com,cdn.forms-content.sg-form.com
https://tpc.googlesyndication.com,Error 404 (Not Found)!!1,404,1561,tpc.googlesyndication.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:09Z,2023-10-02T08:21:08Z,CN=tpc.googlesyndication.com,tpc.googlesyndication.com,,tpc.googlesyndication.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3b498f5824cc11360b2f9bd7f8585d29,1df666e60f89b5fbadaf8d4079115c6f97027088cf01df80eba5f8eaa2147017,,ctls,tpc.googlesyndication.com,,443,https://tpc.googlesyndication.com:443,https,text/html,GET,142.250.185.65,/,-1184133586,2a00:1450:4001:80e::2001,HTTP/3,12,False,,sffe,,
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118570,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:16:18Z,2023-10-02T08:16:17Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,dae25a43a6936128ed1b8afa4c2d653b,d9400a529522e19c31ee576709e351b1773254f9bfac91a668c893a61999d5fa,True,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,text/html,GET,142.250.185.206,/,302920777,2a00:1450:4001:812::200e,HTTP/3,1833,False,,sffe,https://marketingplatform.google.com/about/analytics/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform
https://www.google.de,Google,200,247831,www.google.de,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:04Z,2023-10-02T08:21:03Z,CN=www.google.de,www.google.de,,www.google.de,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ac5dfce7c2a5fe432fd1d46fea5d3e00,1d708f9911948b690d43352079c15e84421ae8ebcce08c9e12bdaab064f9f86b,,ctls,www.google.de,,443,https://www.google.de:443,https,text/html,GET,142.250.74.195,/,708578229,2a00:1450:4001:802::2003,HTTP/3,149,False,,gws,,https://csp.withgoogle.com/csp/gws/other-hp
https://www.googleadservices.com,Error 404 (Not Found)!!1,404,1561,www.googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=www.googleadservices.com,www.googleadservices.com,,www.googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,faf0bd6149193e8326919d5cc1609537,16a08ab7065ad895c71d0952f68b2b20da3460b307890712706e87a373da107b,,ctls,www.googleadservices.com,,443,https://www.googleadservices.com:443,https,text/html,GET,142.250.186.34,/,302920777,142.250.186.34,HTTP/3,12,False,,sffe,,
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-10T08:16:15Z,2023-10-02T08:16:14Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,1c8fefbb8cb4afbb1c43de7e97d3502d,e0d7d78975428ef29c5f7c6749977f18abc39068f48ce83606ecd5f446a248b7,True,ctls,www.googletagmanager.com,,443,https://www.googletagmanager.com:443,https,text/html,GET,142.250.185.136,/,302920777,2a00:1450:4001:811::2008,HTTP/3,12,False,,Google Tag Manager,,
