input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn,tech_,csp_domains_,tls_mismatched,tls_wildcard_certificate,final_url
analytics.beta.starlink.com,502 Bad Gatway,502,428,analytics.beta.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-04-18T23:59:59Z,"CN=analytics.beta.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",analytics.beta.starlink.com,Space Exploration Technologies Corp.,www.analytics.beta.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,830b741212a86cd4df134e304451cd78,0c02d4a29b219e10d225518915a2e4cd379d26e4ba0ffc036609bc80ba050b5c,ctls,analytics.beta.starlink.com,fastly,443,https://analytics.beta.starlink.com:443,https,Varnish,text/html,GET,151.101.2.133,/,2055347744,151.101.194.133,18,False,True,HSTS,,,,
analytics.starlink.com,502 Bad Gateway,502,431,analytics.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-04-18T23:59:59Z,"CN=analytics.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",analytics.starlink.com,Space Exploration Technologies Corp.,www.analytics.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,89b9b369359ea21a51613a2e66cdfcb8,d61472ba9d58799e01700c0313aa339ef1f42b506837ffddf7a8679476c8dd39,ctls,analytics.starlink.com,fastly,443,https://analytics.starlink.com:443,https,whydoyoucare?,text/html,GET,146.75.122.133,/,968408024,146.75.122.133,18,False,True,HSTS,,,,
api.beta.starlink.com,,502,,api.beta.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2024-07-24T23:59:59Z,"CN=beta.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",beta.starlink.com,Space Exploration Technologies Corp.,api.beta.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8ec8d6446e5b0a2179ad7fd4848beb9e,849394ecfd1e356c9a7d1642b6359d4a29595e24ed3b2370e1cf0e7b767bae6a,ctls,api.beta.starlink.com,fastly,443,https://api.beta.starlink.com:443,https,whydoyoucare?,,GET,151.101.2.133,/,-1840324437,151.101.194.133,1,False,True,HSTS,,,,
api.payments-test.starlink.com,503 Forbidden,503,425,api.payments-test.starlink.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-15T00:00:00Z,2023-11-14T23:59:59Z,"CN=api.payments-test.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",api.payments-test.starlink.com,Space Exploration Technologies Corp.,nessus.payments-test.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fd2712e458f97ddc4078f3eaae58961,70c2e281534b7fe3fa776f756168935f6da3f82c137d1b20def6c63fface63bc,ctls,api.payments-test.starlink.com,fastly,443,https://api.payments-test.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.1.217,/,-937488865,151.101.193.217,18,False,True,,,,,
api.payments.starlink.com,403 Forbidden,403,422,api.payments.starlink.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-28T00:00:00Z,2024-01-28T23:59:59Z,"CN=api.payments.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",api.payments.starlink.com,Space Exploration Technologies Corp.,nessus.payments.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b9f41f2ca086fe22a063df6067cac119,9c0540e56dfbf00476d3c3f15bff9838ce8220477becb3ebfa002352a7fa8301,ctls,api.payments.starlink.com,fastly,443,https://api.payments.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.1.217,/,1479562389,151.101.193.217,18,False,True,HSTS,,,,
api.starlink.com,,404,,api.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-08T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8284e9f8ab0170a1864f355d6d5d8f28,1e399e17e92bed065c2e44873ee895ec3c9ddf91dacd46adf5c12b5bf77af0ae,ctls,api.starlink.com,fastly,443,https://api.starlink.com:443,https,whydoyoucare?,,GET,146.75.118.133,/,-1840324437,146.75.118.133,1,False,True,HSTS,,,,
api2.starlink.com,502,502,136,api2.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-24T23:59:59Z,"CN=api2.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",api2.starlink.com,Space Exploration Technologies Corp.,api2.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cd8b8bba4b86d93a7aa5e7ae7fc4a765,85e19a7536ee83807ed4f6889cf4a18693d894cd3c37bdeae281697205f078dd,ctls,api2.starlink.com,google,443,https://api2.starlink.com:443,https,,text/html,GET,34.96.93.42,/,-1269275598,34.96.93.42,1,False,True,HTTP/3,,,,
assets.hcaptcha.starlink.com,,200,9,assets.hcaptcha.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-11-13T23:59:59Z,"CN=hcaptcha.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",hcaptcha.starlink.com,Space Exploration Technologies Corp.,assets.hcaptcha.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab5b23e7533a029db7bf6cf493690456,fdcd3ae78bcd8eec5799d3783c1a69e46fcff6112c4ce95611fa400abad62d07,ctls,assets.hcaptcha.starlink.com,google,443,https://assets.hcaptcha.starlink.com:443,https,nginx/1.20.2,text/html,GET,34.111.246.71,/,144573237,34.111.246.71,2,False,True,Nginx:1.20.2,,,,
auth.starlink.com,Starlink,200,2217,auth.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-08T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8284e9f8ab0170a1864f355d6d5d8f28,1e399e17e92bed065c2e44873ee895ec3c9ddf91dacd46adf5c12b5bf77af0ae,ctls,auth.starlink.com,fastly,443,https://auth.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,-786874939,151.101.194.133,46,False,True,hCaptcha,https://geolocation.onetrust.com,,,
autodiscover.starlink.com,Sign in to Outlook,200,39352,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.starlink.com:80,http,,text/html,GET,40.99.155.232,/,-1249852061,2603:1026:c0d:c1f::8,95,False,,HSTS,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=81643ecd-e3c2-3f5c-27b4-9bff623fd215&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=starlink.com&nonce=638232566516065454.9d884341-eec2-453a-a453-ffe8fb14052e&state=DctNDsIgEEBh0LsYN7T8zIy4aDzLCEPS2JaE1np9Wbxv97RS6tq79LTtqAeF6INHInRkCQFheOYYIYAzIskbwMCGu6YUieXtwKIX3d_7WH88vprwsk77wW2Zt8-Q6no788Tfo-Z5T_WU9gc
