input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url
academy.bitget.com,Bitget-Better trading Better life,200,182604,academy.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,academy.bitget.com,cloudflare,443,https://academy.bitget.com:443,https,cloudflare,text/html,GET,104.18.9.145,/,440756430,104.18.8.145,webpack,6,False,True,,
api.bitget.com,404 Not Found,404,150,api.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,api.bitget.com,cloudflare,443,https://api.bitget.com:443,https,cloudflare,text/html,GET,104.18.8.145,/,-1179026472,104.18.9.145,Cloudflare Bot Management,8,False,True,,
bitget.com,Crypto Derivative Exchange | Bitget,200,923581,www.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,www.bitget.com,cloudflare,443,https://bitget.com:443,https,cloudflare,text/html,GET,104.18.9.145,/,1114301902,104.18.8.145,Vue.js,55,False,True,,https://www.bitget.com
blog.bitget.com,Bitget-Better trading Better life,200,346700,www.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,www.bitget.com,cloudflare,443,https://blog.bitget.com:443,https,cloudflare,text/html,GET,104.18.8.145,/,1340416004,104.18.9.145,webpack,65,False,True,,https://www.bitget.com/en/blog
bonus.bitget.com,,200,7,bonus.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,bonus.bitget.com,cloudflare,443,https://bonus.bitget.com:443,https,cloudflare,text/plain,GET,104.18.8.145,/,-1840324437,104.18.9.145,Cloudflare Bot Management,1,False,True,,
capi.bitget.com,404 Not Found,404,150,capi.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,capi.bitget.com,cloudflare,443,https://capi.bitget.com:443,https,cloudflare,text/html,GET,104.18.9.145,/,-1179026472,104.18.8.145,Cloudflare Bot Management,8,False,True,,
contract-websocket.bitget.com,,404,13,contract-websocket.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,contract-websocket.bitget.com,cloudflare,443,https://contract-websocket.bitget.com:443,https,cloudflare,,GET,104.18.8.145,/,285775083,104.18.9.145,Cloudflare Bot Management,1,False,True,,
m.bitget.com,Bitget Mobile App Download,200,963805,www.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,www.bitget.com,cloudflare,443,https://m.bitget.com:443,https,cloudflare,text/html,GET,104.18.8.145,/,-1179026472,104.18.9.145,Vue.js,113,False,True,,https://www.bitget.com/en/download
mta-sts.bitget.com,,503,15,mta-sts.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,mta-sts.bitget.com,cloudflare,443,https://mta-sts.bitget.com:443,https,cloudflare,text/plain,GET,104.18.9.145,/,799544683,104.18.8.145,Cloudflare Bot Management,1,False,True,,
partner.bitget.com,404 Not Found,404,150,partner.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,partner.bitget.com,cloudflare,443,https://partner.bitget.com:443,https,cloudflare,text/html,GET,104.18.8.145,/,-1179026472,104.18.9.145,Cloudflare Bot Management,8,False,True,,
support.bitget.com,404 Not Found,404,552,support.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,support.bitget.com,cloudflare,443,https://support.bitget.com:443,https,cloudflare,text/html,GET,104.18.9.145,/,1114301902,104.18.8.145,Cloudflare Bot Management,14,False,True,,
url743.promo.bitget.com,404 Not Found,404,162,url743.promo.bitget.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,url743.promo.bitget.com,,443,https://url743.promo.bitget.com:443,https,nginx,text/html,GET,167.89.115.120,/,190856733,167.89.123.54,Nginx,8,False,,True,
web3.bitget.com,"Bitget Wallet, your Web3 trading wallet of the future.",200,28400,web3.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,web3.bitget.com,cloudflare,443,https://web3.bitget.com:443,https,cloudflare,text/html,GET,104.18.8.145,/,-2106632677,104.18.9.145,Vue.js,40,False,True,,https://web3.bitget.com/en
ws.bitget.com,404 Not Found,404,150,ws.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,ws.bitget.com,cloudflare,443,https://ws.bitget.com:443,https,cloudflare,text/html,GET,104.18.8.145,/,-1179026472,104.18.9.145,Cloudflare Bot Management,8,False,True,,
www.bitget.com,Crypto Derivative Exchange | Bitget,200,923581,www.bitget.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-18T23:59:59Z,"CN=bitget.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitget.com,"Cloudflare, Inc.",bitget.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e40dc31cc83fd794c934a87af57b257a,f2bdc8becf19661ff762ec5282739d5a6ca99b2a3b71d6d1422aed4bedfd0c78,True,ctls,www.bitget.com,cloudflare,443,https://www.bitget.com:443,https,cloudflare,text/html,GET,104.18.9.145,/,1114301902,104.18.8.145,Vue.js,55,False,True,,
