new,host,a,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips
[x],docs-e.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,2021-auth-cms.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,2021-vpn-status-clients-svnpostgresgit.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,2433248g48.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,253awww.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,3awww.underarmour.co.uk,,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,about.mapmyfitness.com,"13.224.189.41, 13.224.189.52, 13.224.189.49, 13.224.189.31",mapmyfitness.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"mx1.ua.iphmx.com, mx2.ua.iphmx.com","ns-1108.awsdns-10.org, ns-1855.awsdns-39.co.uk, ns-408.awsdns-51.com, ns-654.awsdns-17.net","MS=ms37790606, facebook-domain-verification=c3gbdfdjok9dh5lqbj38d3rz5irepr, google-site-verification=Q2epMmOxfdLgt5cIquPR7VyixmA7p_92IsLurJX21FU, include:_spf.google.com ip4:208.73.5.15 ip4:198.101.229.105 ?all, o3dRlQD190cP20HQ1wEDj22KvS55eknscjOSL5bIa7s4tbGBnAn8fd6koJFZA7wy96iNYThgeqNWX2od53JMmw==, v=spf1 a mx include:sendgrid.net include:mailseat.com include:mail.zendesk.com include:spf.protection.outlook.com  ~all",,,
,about.underarmour.com,"151.101.195.10, 151.101.3.10, 151.101.67.10, 151.101.131.10","cdn.adobeaemcloud.com, adobe-aem.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,,
,account-billing.myfitnesspal.com,"104.18.43.204, 172.64.144.52","hosted-checkout.stripecdn.com, hosted-checkout.stripecdn.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
,account.myfitnesspal.com,"54.87.102.222, 52.2.200.77, 50.19.251.83",prod-accountservices.external.us.mfp.dev,"ns-1752.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,account.underarmour.com,"18.160.41.40, 18.160.41.72, 18.160.41.87, 18.160.41.39, 205.251.193.127, 205.251.194.36, 205.251.197.153, 205.251.198.242",d3pb4izm32m08z.cloudfront.net,"ns-1778.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-1778.awsdns-30.co.uk, ns-1433.awsdns-51.org, ns-383.awsdns-47.com, ns-548.awsdns-04.net",,,,
,acp.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,active.myfitnesspal.com,,secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,activesyncdr.underarmour.com,,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,activesynceu.underarmour.com,46.34.71.253,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,activesynceudr.underarmour.com,204.29.197.87,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,activesynchk.underarmour.com,125.252.105.230,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,activesynchkdr.underarmour.com,204.29.197.86,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,acuamcom.sharepoint.com,"13.107.138.8, 13.107.136.8","8276-ipv4v6e.clump.dprodmgd104.aa-rt.sharepoint.com, 189925-ipv4v6e.farm.dprodmgd104.aa-rt.sharepoint.com, 189925-ipv4v6w.farm.dprodmgd104.sharepointonline.com.akadns.net, 189925-ipv4v6.farm.dprodmgd104.aa-rt.sharepoint.com.dual-spo-0003.spo-msedge.net, dual-spo-0003.spo-msedge.net","ns1.spo-msedge.net, msnhst.microsoft.com",,NOERROR,,,,,,"2620:1ec:8fa::8, 2620:1ec:8f8::8",,
,admin.www.ua.com,173.203.25.68,,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,advice.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,,,
