input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_wildcard_certificate,tls_expired,final_url,csp_domains_
2021-auth-cms.underarmour.co.uk,Under Armour,410,418886,www.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,"Under Armour, Inc.",www.underarmour.ca,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,20150c72bc040ad0d612b777747786ab,120d7c57cd54d518f49c25170bd0b07c7a2daccc0cd224a57dab782d96383871,ctls,www.underarmour.com,,80,http://2021-auth-cms.underarmour.co.uk:80,http,cloudflare,text/html,GET,204.74.99.103,/,74348918,204.74.99.103,Varnish,5956,False,,,,,https://www.underarmour.com/shop/uk/en/,https://studio.production.ua.coremedia.cloud
2021-vpn-status-clients-svnpostgresgit.underarmour.co.uk,Under Armour,410,418887,www.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,"Under Armour, Inc.",www.underarmour.ca,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,20150c72bc040ad0d612b777747786ab,120d7c57cd54d518f49c25170bd0b07c7a2daccc0cd224a57dab782d96383871,ctls,www.underarmour.com,,80,http://2021-vpn-status-clients-svnpostgresgit.underarmour.co.uk:80,http,cloudflare,text/html,GET,204.74.99.103,/,1939528933,204.74.99.103,Varnish,5951,False,,,,,https://www.underarmour.com/shop/uk/en/,https://studio.production.ua.coremedia.cloud
253awww.underarmour.co.uk,Under Armour,410,418888,www.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,"Under Armour, Inc.",www.underarmour.ca,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,20150c72bc040ad0d612b777747786ab,120d7c57cd54d518f49c25170bd0b07c7a2daccc0cd224a57dab782d96383871,ctls,www.underarmour.com,,80,http://253awww.underarmour.co.uk:80,http,cloudflare,text/html,GET,204.74.99.103,/,809642795,204.74.99.103,Varnish,5953,False,,,,,https://www.underarmour.com/shop/uk/en/,https://studio.first.sandbox.ua.coremedia.cloud
3awww.underarmour.co.uk,Under Armour,410,418893,www.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,"Under Armour, Inc.",www.underarmour.ca,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,20150c72bc040ad0d612b777747786ab,120d7c57cd54d518f49c25170bd0b07c7a2daccc0cd224a57dab782d96383871,ctls,www.underarmour.com,,80,http://3awww.underarmour.co.uk:80,http,cloudflare,text/html,GET,204.74.99.103,/,1830539886,204.74.99.103,Varnish,5956,False,,,,,https://www.underarmour.com/shop/uk/en/,https://preview.uat.ua.coremedia.cloud
about.mapmyfitness.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://about.mapmyfitness.com:80,http,CloudFront,text/html,GET,13.224.189.31,/,-199576763,13.224.189.49,Amazon Web Services,20,False,True,,,,,
about.underarmour.com,Home,200,71151,about.underarmour.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=about.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US",about.underarmour.com,"Under Armour, Inc.",about.underarmour.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1a343816265ca8f00125b1f898232e09,0f89d6401029b455f0ca5620f2ab51606e02e4d8916eaa2cdfba3551670e2a76,ctls,about.underarmour.com,fastly,443,https://about.underarmour.com:443,https,,text/html,GET,151.101.3.10,/,-55538501,151.101.195.10,Java,1198,False,True,,,,,
account-billing.myfitnesspal.com,,204,,account-billing.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T19:55:27Z,2023-07-23T19:55:26Z,CN=account-billing.myfitnesspal.com,account-billing.myfitnesspal.com,,account-billing.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4c0edfe581e239301d63e645a3d0b038,6addd1fa3df2a5069ea92b64ca6276e2a1b220c4e3e3dea7580fb3e32ac7ac1b,ctls,account-billing.myfitnesspal.com,cloudflare,443,https://account-billing.myfitnesspal.com:443,https,cloudflare,,GET,172.64.144.52,/,1008897269,2606:4700:4400::6812:2bcc,Varnish,1,False,True,,,,,
account.myfitnesspal.com,Calorie Tracker & BMR Calculator to Reach Your Goals | MyFitnessPal,200,568578,account.myfitnesspal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T08:46:35Z,2023-08-06T08:46:34Z,CN=*.external.us.mfp.dev,*.external.us.mfp.dev,,*.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,de303b93142580e292c57e950a763354,2216b2cbcdc1253375eda2908e82678aa2de3687cd78b6049fb28a1b45f0eba3,ctls,account.myfitnesspal.com,,443,https://account.myfitnesspal.com:443,https,,text/html,GET,34.230.104.53,/,33983877,34.202.74.239,HSTS,1,False,,True,True,,,https://csp-report.browser-intake-datadoghq.com/api/v2/logs?dd-api-key=pub6bacd8a3d2ff4a25d741e639b3320206&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=env:nutrition-prod
account.underarmour.com,Under Armour - Account and Privacy Center,200,12982,account.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-01-23T23:59:59Z,CN=account.underarmour.com,account.underarmour.com,,account.underarmour.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,179d92d4f202110dacc21de82fcd545c,695471d74ec08479a14266e821b4898ce8065477341fb87c7ba929325b3a64b6,ctls,account.underarmour.com,cloudfront,443,https://account.underarmour.com:443,https,,text/html,GET,18.66.112.116,/,721059965,18.66.112.17,Node.js,1,False,True,,,,,
acp.myfitnesspal.com,Origin DNS error | acp.myfitnesspal.com | Cloudflare,530,6211,,,,,,,,,,,,,,,,,,,cloudflare,80,http://acp.myfitnesspal.com:80,http,cloudflare,text/html,GET,104.18.27.189,/,-1061257919,2606:4700::6812:1abd,Cloudflare,93,False,True,,,,,
active.myfitnesspal.com,MyFitnessPal + Active,200,73948,active.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T04:16:42Z,2023-08-09T04:16:41Z,CN=active.myfitnesspal.com,active.myfitnesspal.com,,active.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3dabeec70615ad7c87d90db4bc5eba38,a777c6219d0a84df63c9b058fdac72c0f04bcc851d76317974ce6f1e606afc83,ctls,active.myfitnesspal.com,cloudflare,443,https://active.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1bbd,HSTS,879,False,True,,,,,
advice.myfitnesspal.com,MyFitnessPal x Unsolicited Advice Podcast,200,38550,advice.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T02:15:19Z,2023-08-08T02:15:18Z,CN=advice.myfitnesspal.com,advice.myfitnesspal.com,,advice.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cd549cbe40103b69bb35e9e24b1605be,f56a86da8718e3c46d12aed9a51d2f3d073bc6a11d3b1cc9f0233ae15ca21799,ctls,advice.myfitnesspal.com,cloudflare,443,https://advice.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1abd,YouTube,496,False,True,,,,,
