input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,tls_expired,csp_domains_,final_url,location
*.hotjar.com:*,Hotjar: Website Heatmaps & Behavior Analytics Tools,200,308731,www.hotjar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-11-23T23:59:59Z,CN=*.hotjar.com,*.hotjar.com,hotjar.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,54638f1f3a40f685a2b7e2152ab03579,a25dec72ea3e5a283b6a53a564ea2ef61d08e33d461848a68334173dbe669213,True,ctls,www.hotjar.com,,443,https://hotjar.com:443,https,,text/html,GET,,/,-289595996,,webpack,664,False,,,,,,https://www.hotjar.com/,
alliance.mercadolibre.com,Anti-Counterfeiting Alliance,200,104095,global-selling.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,global-selling.mercadolibre.com,cloudfront,443,https://alliance.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.25,/,1337921453,13.32.99.118,Tengine,202,False,True,,,,,https://global-selling.mercadolibre.com/alliance,
analytics.mercadolibre.com,,200,22,analytics.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,analytics.mercadolibre.com,cloudfront,443,https://analytics.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.118,/,1593207841,13.32.99.25,Tengine,1,False,True,,,,,,
andes.mercadolibre.com,Andes,200,40967,andes.mercadolibre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-31T00:00:00Z,2024-05-31T23:59:59Z,"CN=andes.mercadolibre.com, O=Mercadolibre S.R.L., L=Buenos Aires, C=AR",andes.mercadolibre.com,andes.mercadolibre.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d19e0ae284c40a193bd1304a1c5a6f38,c82abe9f49cb8d6bdb5e522d7ba2b3dd53c15aeedb2034fcf75f07aecd50396b,,ctls,andes.mercadolibre.com,,443,https://andes.mercadolibre.com:443,https,nginx,text/html,GET,63.33.17.94,/,409104341,54.195.237.234,Ruby on Rails,253,False,,Mercadolibre S.R.L.,,,wss://*.zeroheight.dev:*,,
answers.mercadolibre.com,Welcome to tengine!,200,555,answers.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,answers.mercadolibre.com,cloudfront,443,https://answers.mercadolibre.com:443,https,Tengine/2.2.1,text/html,GET,13.32.99.77,/,-1756178482,13.32.99.89,Tengine,24,False,True,,,,,,
api.mercadolibre.com,,404,204,api.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-11T00:00:00Z,2024-01-10T23:59:59Z,"CN=api.mercadolibre.com, O=Mercadolibre Inc, L=Ciudad Autonoma de Buenos Aires, C=AR",api.mercadolibre.com,api.mercadolibre.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e06c3bf973a6ea517af6f785f3d65d44,5e3e42e44794b7bbbd693c3c54af9b1ebc1a779b50385d235fa00734daeb91f8,,ctls,api.mercadolibre.com,cloudfront,443,https://api.mercadolibre.com:443,https,,application/json,GET,52.222.217.237,/,-561721443,52.222.217.237,Amazon Web Services,1,False,True,Mercadolibre Inc,,,,,
applications.mercadolibre.com,Bienvenidos a Developers Mercado Libre,200,56678,developers.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,developers.mercadolibre.com,cloudfront,443,https://applications.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.113,/,-1624926337,13.225.78.118,Tengine,68,False,True,,,,,https://developers.mercadolibre.com,
appstore.mercadolibre.com,Centro de Partners | Mercado Libre Argentina - Donde comprar y vender de todo,200,71838,centrodepartners.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,centrodepartners.mercadolibre.com,cloudfront,443,https://appstore.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.118,/,1890126894,13.32.99.99,Tengine,124,False,True,,,,,https://centrodepartners.mercadolibre.com/,
aragorn.mercadolibre.com,aragorn,200,24168,,,,,,,,,,,,,,,,,,,,80,http://aragorn.mercadolibre.com:80,http,GSE,text/html,GET,142.250.186.147,/,-1526400531,2a00:1450:4001:82f::2013,OpenGSE,391,False,,,,,,,
artifacts-test.mercadolibre.com,Nexus Repository Manager,200,8569,artifacts-test.mercadolibre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,artifacts-test.mercadolibre.com,,443,https://artifacts-test.mercadolibre.com:443,https,nginx/1.23.4,text/html,GET,44.207.27.206,/,2014767746,54.174.173.99,Nginx:1.23.4,109,False,,,,,,,
