new,host,a,soa,status_code,cname,mx,ns,txt,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],static.dataconvergence.ovh.com,54.38.64.12,"dns104.ovh.net, tech.ovh.net",NOERROR,dataconvergence.ovh.com,mx1.mail.ovh.net,"dns104.ovh.net, ns104.ovh.net","v=spf1 ip4:178.32.228.85/32 -all, google-site-verification=TeH5-rrKIXZftVxel0VRmqwl_OOoPFRVzUsM0x-C038",,,,,,
,01.bhs.logs.ovh.com,198.50.195.71,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,01.gra.logs.ovh.com,51.38.195.89,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,02.gra.logs.ovh.com,51.38.195.4,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,03.gra.logs.ovh.com,5.196.217.223,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,adc.gra.dataconvergence.ovh.com,51.68.117.250,"dns104.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,adfs.corp.ovh.com,5.196.251.130,"dns110.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,admin.bhs1.logs.ovh.com,51.79.17.27,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,admin.bhs159.logs.ovh.com,66.70.177.139,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,admin.gra159.logs.ovh.com,51.255.95.141,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,admin.gra3.logs.ovh.com,51.255.83.121,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,adminaw.corp.ovh.com,54.38.250.53,"dns110.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,aide.ovh.com,51.91.60.7,"dns12.ovh.net, tech.ovh.net",NOERROR,,,"ns12.ovh.net, dns12.ovh.net",,,,,,,
,airwatch.corp.ovh.com,54.38.250.53,"dns110.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,alerts.poccmpgra9.dataconvergence.ovh.com,51.68.117.97,"dns104.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,alerts.preprod.dataconvergence.ovh.com,54.38.64.147,"dns104.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,alpha.thot.ovh.com,167.114.244.241,"dns18.ovh.net, tech.ovh.net",NOERROR,,alpha.thot.ovh.com,,,,,,,,
,analytics.ovh.com,145.239.37.172,"dns20.ovh.net, tech.ovh.net",NOERROR,,,"dns20.ovh.net, ns20.ovh.net",,,,,,,
,ape.ovh.com,,"dns.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,api-internal.corp.ovh.com,,"dns110.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,api.dataconvergence.ovh.com,51.68.2.177,"dns104.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,api.gs.ovh.com,,"dns.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,api.ovh.com,,"dns18.ovh.net, tech.ovh.net",NOERROR,,,"dns10.ovh.net, ns18.ovh.net, ns10.ovh.net, dns18.ovh.net",,,,,,,
,auth.ovh.com,198.27.92.1,"dns.ovh.net, tech.ovh.net",NOERROR,ovh.com,"mx2.ovh.net, mx1.ovh.net","ns.ovh.net, dns.ovh.net, dns10.ovh.net, ns200.anycast.me, dns200.anycast.me, ns10.ovh.net","google-site-verification=Il9nne-nVT0DAIF9l7jwlycs1fMuu_pWggen5IYZVlA, facebook-domain-verification=omh9d3iqxyx295l8wdk0y6asn1ne3y, v=spf1 include:spf.mailjet.com include:mx.ovh.com ~all, google-site-verification=J3fSHAVfI5uZPzM4rlKtSiBnE5iC0lxi0k2-pn0aM1U",,,,,,
,ayuda.ovh.com,87.98.231.23,"dns.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,backup-1.logs.ovh.com,54.37.82.141,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,backup-1.thot.ovh.com,54.37.82.141,"dns18.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,bhs.logs.ovh.com,198.50.249.39,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,bhs1-60620006208af6faa3aafda2.bhs1.logs.ovh.com,51.161.55.21,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,bhs1-60a8eff78ada9373c2ce487e.bhs1.logs.ovh.com,51.161.55.239,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,bhs1-60b8519208da5d8ee8441476.bhs1.logs.ovh.com,51.161.55.237,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,bhs1.logs.ovh.com,198.50.249.32,"dns105.ovh.net, tech.ovh.net",NOERROR,,master.bhs1.logs.ovh.com,,,,,,,,
,bhs110.logs.ovh.com,51.222.52.15,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,bhs111.logs.ovh.com,51.222.52.14,"dns105.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,,
,bhs159.logs.ovh.com,198.50.195.64,"dns105.ovh.net, tech.ovh.net",NOERROR,,master.bhs159.logs.ovh.com,,,,,,,,
