new,host,a,soa,status_code,cdn,cdn-name,ns,mx,txt
[x],26-62-1.web.bugpoc.ninja,"13.224.189.36, 13.224.189.89, 13.224.189.23, 13.224.189.43","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],44d9.relay.bugpoc.ninja,"108.138.17.63, 108.138.17.99, 108.138.17.95, 108.138.17.81","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],50-courier.redir.bugpoc.ninja,"18.67.65.117, 18.67.65.92, 18.67.65.49, 18.67.65.114","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],663-94.web.bugpoc.ninja,,"ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],69-2-35.redir.bugpoc.ninja,"18.66.97.76, 18.66.97.114, 18.66.97.36, 18.66.97.115","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],8fwww-04.relay.bugpoc.ninja,"108.157.4.102, 108.157.4.104, 108.157.4.58, 108.157.4.27","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],acc-lon6-cs5b11-1.relay.bugpoc.ninja,"52.84.90.33, 52.84.90.49, 52.84.90.107, 52.84.90.127","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],accessns-log-b2bsystem.redir.bugpoc.ninja,"18.66.97.115, 18.66.97.36, 18.66.97.114, 18.66.97.76","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],account-customer-accounts.redir.bugpoc.ninja,"18.66.97.115, 18.66.97.36, 18.66.97.114, 18.66.97.76","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],accounttemp-v1db2-corp.relay.bugpoc.ninja,"108.138.17.95, 108.138.17.63, 108.138.17.81, 108.138.17.99","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],acs01-hu1.web.bugpoc.ninja,"13.224.189.89, 13.224.189.23, 13.224.189.43, 13.224.189.36","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],admin-nproxynginxclientaccounimap.relay.bugpoc.ninja,"108.138.17.81, 108.138.17.63, 108.138.17.95, 108.138.17.99","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],administration.relay.bugpoc.ninja,"108.138.17.99, 108.138.17.63, 108.138.17.95, 108.138.17.81","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],alexa-editorial.relay.bugpoc.ninja,"108.138.64.41, 108.138.64.2, 108.138.64.8, 108.138.64.24","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],ams-rm-stage.redir.bugpoc.ninja,"18.173.233.27, 18.173.233.24, 18.173.233.71, 18.173.233.53","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],api-itms5.relay.bugpoc.ninja,"108.157.4.58, 108.157.4.102, 108.157.4.104, 108.157.4.27","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],api.redir.bugpoc.ninja,"18.173.233.71, 18.173.233.24, 18.173.233.53, 18.173.233.27","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],apiadmin-s1.web.bugpoc.ninja,"13.224.189.43, 13.224.189.36, 13.224.189.89, 13.224.189.23","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],app.web.bugpoc.ninja,"52.222.144.39, 52.222.144.111, 52.222.144.41, 52.222.144.127","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],ash2-optoutcassandra-a6.relay.bugpoc.ninja,"108.138.17.95, 108.138.17.99, 108.138.17.81, 108.138.17.63","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],atl-dev-resint-01a.relay.bugpoc.ninja,"108.138.17.95, 108.138.17.99, 108.138.17.63, 108.138.17.81","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],authusers.redir.bugpoc.ninja,"18.66.97.36, 18.66.97.114, 18.66.97.115, 18.66.97.76","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],bae.web.bugpoc.ninja,"18.160.18.91, 18.160.18.85, 18.160.18.72, 18.160.18.77","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],baiduspider-180-149-133-19.web.bugpoc.ninja,"13.224.189.23, 13.224.189.89, 13.224.189.36, 13.224.189.43","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],batn.relay.bugpoc.ninja,"108.139.243.77, 108.139.243.14, 108.139.243.74, 108.139.243.49","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],binscrewed.relay.bugpoc.ninja,"108.138.17.81, 108.138.17.99, 108.138.17.63, 108.138.17.95","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],brhmal06-drtr.redir.bugpoc.ninja,"18.67.65.114, 18.67.65.117, 18.67.65.49, 18.67.65.92","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],bugpoc.com,"54.230.112.112, 54.230.112.74, 54.230.112.94, 54.230.112.33","ns-428.awsdns-53.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1153.awsdns-16.org, ns-1898.awsdns-45.co.uk, ns-428.awsdns-53.com, ns-870.awsdns-44.net","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, sxwm42g44gyppr72gdakt53vfnitqipffakq7uehari6gwneygcq.mx-verification.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","google-site-verification=a9UzN0h3-suzrfZ4JSGC9v0kkfvVvdJzcaYFN428ip8, google-site-verification=lezOaNzhsPfH-jDAqfd1K1E4IeUoFQ_QhwRR41mkwYU"
[x],bugpoc.ninja,"18.155.129.66, 18.155.129.112, 18.155.129.10, 18.155.129.114","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1025.awsdns-00.org, ns-1957.awsdns-52.co.uk, ns-369.awsdns-46.com, ns-608.awsdns-12.net",,
[x],bwetamel.web.bugpoc.ninja,"13.224.189.36, 13.224.189.23, 13.224.189.89, 13.224.189.43","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],c556e5d.relay.bugpoc.ninja,"52.222.144.51, 52.222.144.56, 52.222.144.53, 52.222.144.17","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1025.awsdns-00.org, ns-1957.awsdns-52.co.uk, ns-369.awsdns-46.com, ns-608.awsdns-12.net",,
[x],cedb.relay.bugpoc.ninja,"108.138.64.8, 108.138.64.24, 108.138.64.41, 108.138.64.2","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],centech.web.bugpoc.ninja,"18.155.129.21, 18.155.129.75, 18.155.129.20, 18.155.129.80","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],chat-gateway198-prod.web.bugpoc.ninja,"13.226.153.117, 13.226.153.92, 13.226.153.95, 13.226.153.5","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],chevrolet-jimmy-6.web.bugpoc.ninja,"13.226.153.117, 13.226.153.5, 13.226.153.95, 13.226.153.92","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],clarify.relay.bugpoc.ninja,"108.138.17.95, 108.138.17.63, 108.138.17.81, 108.138.17.99","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],cpf-an1.redir.bugpoc.ninja,"13.249.9.70, 13.249.9.4, 13.249.9.125, 13.249.9.6","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],cptteraco.redir.bugpoc.ninja,"3.160.196.27, 3.160.196.88, 3.160.196.72, 3.160.196.106","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],ctr2pf-p3-buy.relay.bugpoc.ninja,"52.222.144.56, 52.222.144.17, 52.222.144.53, 52.222.144.51","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],daron.web.bugpoc.ninja,"13.224.189.89, 13.224.189.23, 13.224.189.36, 13.224.189.43","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],devdaws.redir.bugpoc.ninja,"18.173.233.24, 18.173.233.53, 18.173.233.27, 18.173.233.71","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],distances.web.bugpoc.ninja,"13.224.189.89, 13.224.189.43, 13.224.189.36, 13.224.189.23","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],dl-ssl.redir.bugpoc.ninja,"3.160.196.72, 3.160.196.27, 3.160.196.106, 3.160.196.88","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],e90pxaa2-ios-4-17-1.redir.bugpoc.ninja,"18.66.97.115, 18.66.97.114, 18.66.97.36, 18.66.97.76","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],eastononline.relay.bugpoc.ninja,"108.138.17.95, 108.138.17.81, 108.138.17.99, 108.138.17.63","ns-369.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
