new,host,a,soa,status_code,cdn,cdn-name,cname,mx,txt,ns,caa,aaaa
[x],tools.corp.blablacar.com,34.102.220.87,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,5337917.community.blablalines.com,"167.89.118.83, 167.89.123.54, 167.89.123.124, 167.89.118.52","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,sendgrid.net,"mx.sendgrid.net, mx2.sendgrid.net","p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all","ns10.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com","amazonaws.com, godaddy.com",
,ablink.community.blablacardaily.com,35.190.32.124,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,abmail.community.blablalines.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u5337917.wl168.sendgrid.net,mx.sendgrid.net,v=spf1 ip4:149.72.243.208 ip4:167.89.0.254 ip4:167.89.1.164 ip4:167.89.102.156 ip4:168.245.58.30 -all,,,
,admin-workday-bonsai.corp.blablacar.com,34.111.75.165,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,admin.corp.blablacar.com,34.102.173.29,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,alfred-dev.bus.blablacar.com,34.96.74.71,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,alfred-pp.bus.blablacar.com,35.190.6.238,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,alfred.bus.blablacar.com,34.117.42.140,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,api-staging.blablacardaily.com,34.149.179.7,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,api.blablacar.it,,,NOERROR,,,,,,,,2602:fcbc:0:3::11
,app-entreprises.blablacardaily.com,34.149.9.224,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,app-entreprises.blablalines.com,34.149.9.224,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,app.blablacardaily.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d15cahdt90ze38.cloudfront.net,,,,,
,app.blablalines.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d15cahdt90ze38.cloudfront.net,,,,,
,assurance.blablacar.fr,"198.49.23.145, 198.185.159.145, 198.185.159.144, 198.49.23.144","dns1.p06.nsone.net, dns-admin.squarespace.com",NOERROR,,,ext-cust.squarespace.com,,,,,
,auth.blablacar.co.uk,35.190.32.124,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.com,35.190.32.124,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.com.br,35.190.32.124,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.com.tr,35.190.32.124,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.com.ua,35.190.32.124,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.de,35.190.32.124,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.es,35.190.32.124,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.hr,35.190.32.124,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.hu,35.190.32.124,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.in,35.190.32.124,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.it,35.190.32.124,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.mx,35.190.32.124,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.pl,35.190.32.124,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.pt,35.190.32.124,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.ro,35.190.32.124,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
,auth.blablacar.ru,51.250.48.32,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,
,aws.blablacar.com,,"ns-331.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-919.awsdns-50.net, ns-1354.awsdns-41.org, ns-1541.awsdns-00.co.uk, ns-331.awsdns-41.com",amazonaws.com,
,blablacar.be,35.190.32.124,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,"alt3.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com","google-site-verification=jyYcCdKY0X56vrg_QV5-e6OMMh5InDGxe_2lA1uUf-c, google-site-verification=2qYZawrbJmtrDpH5oBMV2Vpvk0AwxoeZdLw2IdukVEk, v=spf1 ~all","ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com",,
,blablacar.co.uk,35.190.32.124,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,"alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","google-site-verification=HjDoxJIQs7ys7wthaIYh52yC1NG8hqgQOQE8w88zzvc, google-site-verification=wo3ixvwNZMRMh8uaxGdR4H4hw_nFyOgQ8cOd7HI5hT0, v=spf1 -all, google-site-verification=BFPk32xe29mnBSRHOMEVJwrcGJyp4of7u6K1JQ3i1QM, google-site-verification=X4lf3HDHdSPwfEd49Zo3yQKTaXudstXcJIAAEvUb22M, facebook-domain-verification=c8appeb42yx129it3e3rdm067kwayw","ns-cloud-a4.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a3.googledomains.com",,
