input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tech_,cdn_name,cdn,tls_expired,tls_self_signed,tls_mismatched,csp_domains_,final_url
activate.arubanetworks.com,,200,2364,activate.arubanetworks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,2024-01-18T23:59:59Z,"CN=activate.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",activate.arubanetworks.com,activate.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,bf2298f440c1dcbff3ddd0a57b5baffd,f8e6f2073bab0d1bd64cce2f32e24a7fc20f9df4bdbfd98abae8e2201bb293ca,,ctls,activate.arubanetworks.com,443,https://activate.arubanetworks.com:443,https,,text/html,GET,34.213.14.92,/,1494302000,35.164.114.233,43,False,Hewlett Packard Enterprise Company,HSTS,,,,,,,https://activate.arubanetworks.com/registration/
aed.arubanetworks.com,CAR & CAP Dashboard,200,798,aed.arubanetworks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-01-21T00:00:00Z,2024-01-23T23:59:59Z,"CN=aed.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",aed.arubanetworks.com,aed.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f1a32caaba2b760f959dda580d2db769,d24c9f43c19419314985af3c91b8ec5cd1cb7cdfcbdbf46afc1c93651aca2a74,,ctls,aed.arubanetworks.com,443,https://aed.arubanetworks.com:443,https,Microsoft-IIS/8.5,text/html,GET,13.57.3.210,/,1142227528,13.57.3.210,19,False,Hewlett Packard Enterprise Company,Windows Server,,,,,,,
aed.getaws.arubanetworks.com,CAR & CAP Dashboard,200,798,aed.getaws.arubanetworks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-01-21T00:00:00Z,2024-01-23T23:59:59Z,"CN=aed.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",aed.arubanetworks.com,aed.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f1a32caaba2b760f959dda580d2db769,d24c9f43c19419314985af3c91b8ec5cd1cb7cdfcbdbf46afc1c93651aca2a74,,ctls,aed.getaws.arubanetworks.com,443,https://aed.getaws.arubanetworks.com:443,https,Microsoft-IIS/8.5,text/html,GET,13.57.3.210,/,1142227528,13.57.3.210,19,False,Hewlett Packard Enterprise Company,Windows Server,,,,,True,,
ags-thdweb.arubanetworks.com,TheHomeDepot,200,2204,ags-thdweb.arubanetworks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2024-02-20T23:59:59Z,"CN=ags-thdweb.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",ags-thdweb.arubanetworks.com,ags-thdweb.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d299a24e98afda88bb12c08e50f91a88,ec34ff3bd74764fb3207d2bab6949aa0aa78ac5b318f2e0d5109470d2b49cd2b,,ctls,ags-thdweb.arubanetworks.com,443,https://ags-thdweb.arubanetworks.com:443,https,nginx/1.15.12,text/html,GET,52.200.21.25,/,-2009722838,54.227.216.177,1,False,Hewlett Packard Enterprise Company,Nginx:1.15.12,,,,,,,
airheads.arubanetworks.com,Access Denied,403,270,www.arubanetworks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-04-02T23:59:59Z,"CN=www.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=San Jose, ST=California, C=US",www.arubanetworks.com,www.arubanetworks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de09110169fc0d9ac5e09289b57b0cf1,db144509a02e4faedf9f1b5d81d5ef7c6cc899cfd1699ccbdad8fd00acb8b7ea,,ctls,www.arubanetworks.com,443,https://airheads.arubanetworks.com:443,https,AkamaiGHost,text/html,GET,18.208.237.48,/,,18.208.237.48,10,False,Hewlett Packard Enterprise Company,,,,,,,,https://www.arubanetworks.com
akb.arubanetworks.com,Aruba Knowledge Base (AKB),200,3666,akb.arubanetworks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-21T00:00:00Z,2024-01-23T23:59:59Z,"CN=akb.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",akb.arubanetworks.com,akb.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f4d487d12427a909b619340239899462,0ef05069b1393a2352247118217ca02046a65092d386fbc39e0f72bff5704b39,,ctls,akb.arubanetworks.com,443,https://akb.arubanetworks.com:443,https,Apache,text/html,GET,104.36.248.201,/,-1490879945,104.36.248.201,70,False,Hewlett Packard Enterprise Company,Python,,,,,,*.google-analytics.com,
alertmanager.k8s-prod.getaws.arubanetworks.com,403 Forbidden,403,153,alertmanager.k8s-prod.getaws.arubanetworks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-30T09:39:23Z,2023-07-29T09:39:22Z,CN=alertmanager.k8s-prod.getaws.arubanetworks.com,alertmanager.k8s-prod.getaws.arubanetworks.com,alertmanager.k8s-prod.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f85e049545f6fecbcc775e25915a2996,c29c7d5d3642bc5c106a751fed1b88dba5fc0d9d3698a9bdbaee1dfde5fb2caa,,ctls,alertmanager.k8s-prod.getaws.arubanetworks.com,443,https://alertmanager.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/html,GET,54.177.224.32,/,1556969654,54.193.199.202,8,False,,Nginx:1.21.6,,,,,,,
ans-stg-audience.k8s-prod.getaws.arubanetworks.com,,404,21,ans-stg-audience.k8s-prod.getaws.arubanetworks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-16T10:43:08Z,2023-07-15T10:43:07Z,CN=ans-stg-audience.k8s-prod.getaws.arubanetworks.com,ans-stg-audience.k8s-prod.getaws.arubanetworks.com,ans-stg-audience.k8s-prod.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4c984103a2d359053a385431331aa5b3,c624b2f8a4960e64079d18bba243828426a4a88028b46b7646169edf90373d2e,,ctls,ans-stg-audience.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-audience.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,/,-1669793162,54.193.199.202,1,False,,Nginx:1.21.6,,,,,,,
ans-stg-dec-qe.k8s-prod.getaws.arubanetworks.com,,404,21,ans-stg-dec-qe.k8s-prod.getaws.arubanetworks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T11:48:30Z,2024-04-26T11:48:30Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b5be83ebf2a423ea5e0a8d2944364a42,42ff01f39f980010f6cc761c8b95914baf0cba4528bf7ffac04d219903248edf,,ctls,ans-stg-dec-qe.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-dec-qe.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,/,-1669793162,54.193.199.202,1,False,Acme Co,Nginx:1.21.6,,,,True,True,,
ans-stg-develop.k8s-stg.getaws.arubanetworks.com,403 Forbidden,403,153,ans-stg-develop.k8s-stg.getaws.arubanetworks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-29T19:15:31Z,2023-08-27T19:15:30Z,CN=ans-stg-develop.k8s-stg.getaws.arubanetworks.com,ans-stg-develop.k8s-stg.getaws.arubanetworks.com,ans-stg-develop.k8s-stg.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c63940a3a288273dce314dc09ade9694,da2a1e0c40cd25d269fa619c4cbcf98dc517532b8be3f5df7a7b5e39af62ca71,,ctls,ans-stg-develop.k8s-stg.getaws.arubanetworks.com,443,https://ans-stg-develop.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/html,GET,184.169.129.136,/,-1940935510,54.177.145.51,8,False,,Nginx:1.19.1,,,,,,,
