new,host,ttl,a,cname,soa,ns,status_code,aaaa,has_internal_ips,internal_ips,caa,cdn,cdn-name,txt,mx
[x],es-stg.rebranding.internal.eks-stg-use1.getaws.arubanetworks.com,60,"10.113.86.62, 10.113.87.15",,"{'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,True,"10.113.86.62, 10.113.87.15",,,,,
[x],es-stg.use-base-nginx.internal.eks-stg-use1.getaws.arubanetworks.com,900,,,"{'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,
[x],id.stgapi-simplycomply-bugzilla-wp.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],id.stgapi-simplycomply-mergeacc-wp.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],july-qe.k8s-prod.getaws.arubanetworks.com,819,,,"{'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'getaws.arubanetworks.com', 'ns': 'ns-690.awsdns-22.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,
[x],login.simplycomplypub-mail6-device-ca.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com, lb2.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM",,"ns-1096.awsdns-09.org, ns-1851.awsdns-39.co.uk, ns-327.awsdns-40.com, ns-981.awsdns-58.net",NOERROR,,,,,,,,
[x],otp.stgapi-simplycomply-lmsstgmy-wp.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],pipe1.tech-v1-simplycomply-cpaaasus10.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],polaris.tech-v1-simplycomply-cpaaasus10.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],proxy.officeconnect.arubanetworks.com,900,,,"{'name': 'officeconnect.arubanetworks.com', 'ns': 'ns-1676.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'officeconnect.arubanetworks.com', 'ns': 'ns-1676.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'officeconnect.arubanetworks.com', 'ns': 'ns-1676.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'officeconnect.arubanetworks.com', 'ns': 'ns-1676.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'officeconnect.arubanetworks.com', 'ns': 'ns-1676.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'officeconnect.arubanetworks.com', 'ns': 'ns-1676.awsdns-17.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,
[x],simplycomplydp-freetrial-access.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],simplycomplyk8prod-collectorstg.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],simplycomplysupportlogicsfdcapi.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],stgapi-simplycomply-1fctlr1tech.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM",,,NOERROR,,,,,,,,
[x],stgapi-simplycomply-alpha1my-wp.devicemanager.central.arubanetworks.com,86328,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],stgapi-simplycomply-att-stg-api.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com, lb2.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM",,,NOERROR,,,,,,,,
[x],stgapi-simplycomply-finalk8prod.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],stgapi-simplycomply-gitlabmy-wp.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com, lb2.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM",,,NOERROR,,,,,,,,
[x],stgapi-simplycomply-lmsstgmy-wp.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],stgapi-simplycomply-sanernow-wp.devicemanager.central.arubanetworks.com,21600,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],stgapi-simplycomplyproxytemp-en.devicemanager.central.arubanetworks.com,43200,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],tech-v1-simplycomply-aio-vaus10.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
[x],tech-v1-simplycomply-ci-autoweb.devicemanager.central.arubanetworks.com,86400,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com, lb2.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM, lb.dEViCemANAGeR.cEntRaL.arUbANETworKS.cOM",,,NOERROR,,,,,,,,
,104.36.248.83.static-ip.arubanetworks.com,7200,104.36.248.83,,"{'name': 'arubanetworks.com', 'ns': 'ns-751.awsdns-29.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'arubanetworks.com', 'ns': 'ns-751.awsdns-29.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'arubanetworks.com', 'ns': 'ns-751.awsdns-29.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'arubanetworks.com', 'ns': 'ns-751.awsdns-29.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'arubanetworks.com', 'ns': 'ns-751.awsdns-29.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,
,6akwpedukc0ixhph.simplycomplyk8prod.devicemanager.central.arubanetworks.com,80193,,"lb.devicemanager.central.arubanetworks.com, lb2.devicemanager.central.arubanetworks.com",,,NOERROR,,,,,,,,
