input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,csp_domains_,final_url,location
*.oneschema.co,OneSchema CSV Importer | The embeddable CSV Importer for Developers,200,82239,www.oneschema.co,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-18T00:18:01Z,2023-10-16T00:18:00Z,CN=www.oneschema.co,www.oneschema.co,www.oneschema.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83c902d9def3558b3bfd7a37905d0008,7c5fb8853ad50e0480c4a38c32510e493445b856d129939509e5f72bf6ca51f5,,ctls,www.oneschema.co,,443,https://oneschema.co:443,https,,text/html,GET,75.2.70.75,/,1331823808,99.83.190.102,Webflow,286,False,,,,,https://www.oneschema.co/,
api-stage.intigriti.com,ERROR: The request could not be satisfied,403,919,api-stage.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,api-stage.intigriti.com,cloudfront,443,https://api-stage.intigriti.com:443,https,CloudFront,text/html,GET,13.32.99.70,/,1922773975,13.32.99.4,Amazon Web Services,20,False,True,,,,,
api-uat.intigriti.com,ERROR: The request could not be satisfied,403,919,api-uat.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,api-uat.intigriti.com,cloudfront,443,https://api-uat.intigriti.com:443,https,CloudFront,text/html,GET,13.32.99.4,/,512593807,13.32.99.88,Amazon Web Services,20,False,True,,,,,
api.intigriti.com,,404,,api.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,api.intigriti.com,cloudfront,443,https://api.intigriti.com:443,https,Hidden,,GET,13.32.99.2,/,-1840324437,13.32.99.4,HSTS,1,False,True,,,,,
app-demo.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,app-demo.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,app-demo.intigriti.com,cloudfront,443,https://app-demo.intigriti.com:443,https,Hidden,text/html,GET,13.225.78.116,/,1800798348,13.225.78.32,HSTS,272,False,True,,,,,
app-stage.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,app-stage.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,app-stage.intigriti.com,cloudfront,80,http://app-stage.intigriti.com:80,http,Hidden,text/html,GET,13.225.78.31,/,1800798348,13.225.78.32,HSTS,272,False,True,,,,https://app-stage.intigriti.com/,
app-uat.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,app-uat.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,app-uat.intigriti.com,cloudfront,443,https://app-uat.intigriti.com:443,https,Hidden,text/html,GET,13.225.78.32,/,1800798348,13.225.78.116,HSTS,272,False,True,,,,,
app.intigriti.com,Intigriti - Bug Bounty & Agile Pentesting Platform,200,271144,www.intigriti.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-22T18:55:03Z,2023-10-20T18:55:02Z,CN=www.intigriti.com,www.intigriti.com,www.intigriti.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d83783404edaa9403d62d6bf7e497c13,9fa9dd147c836d0e500e412b4410ba3fab881b1cc9a87496d9062fb3222f5fcc,,ctls,www.intigriti.com,cloudfront,443,https://app.intigriti.com:443,https,Vercel,text/html,GET,13.225.78.116,/,-1533858881,13.225.78.24,Vercel,1,False,True,,,www.gstatic.com,https://www.intigriti.com,
autodiscover.intigriti.com,Sign in to Outlook,200,39694,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.intigriti.com:80,http,,text/html,GET,52.98.243.56,/,-1249852061,2603:1026:c0d:82b::8,HSTS,95,False,,,Microsoft Corporation,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=ab72b0cd-b7b6-ab52-c668-7233ea0bd794&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=intigriti.com&nonce=638262745239009280.9757165e-103b-42c9-b3ab-14329e2374dc&state=DctNDsIgEEBh0LuYuKCFGWDKovEs_MVMYiVBrNeXxfd2TwohrtNlknpGkMcNPJB1gEHrAJteAjky3lVlNCZlIQeVMCZlLEKogGRLlvO9r-0X10ev8XXs_B787Dx4ye24nWWP39EKf3I7a_8D,
bff-public.intigriti.com,,404,127,bff-public.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,bff-public.intigriti.com,cloudfront,443,https://bff-public.intigriti.com:443,https,Hidden,application/json,GET,18.66.97.127,/,1383209405,18.66.97.92,HSTS,1,False,True,,,,,
cdn.jsdelivr.net,"jsDelivr - A free, fast, and reliable CDN for JS and open source",200,44662,www.jsdelivr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-26T15:08:04Z,2023-10-24T15:08:03Z,CN=www.jsdelivr.com,www.jsdelivr.com,www.jsdelivr.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7c9aa6d4acb2835a2ff15df65f1bc574,a987144dd21dd983b23b7e10bd8eaab02c7802adb499bcbdbc7de6f489a01a26,,ctls,www.jsdelivr.com,cloudflare,443,https://cdn.jsdelivr.net:443,https,cloudflare,text/html,GET,104.16.89.20,/,-2029005286,2606:4700::6810:5814,HTTP/3,55,False,True,,,,https://www.jsdelivr.com,
cdn.merge.dev,Merge Link,200,1320,cdn.merge.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,2024-02-01T23:59:59Z,"CN=cdn.merge.dev, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cdn.merge.dev,cdn.merge.dev,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",30b2122845bd5acd48d51a7363a3d5d6,368bf66b4181f7624ca6f0eec75696823d5260241942975e9a1e64058d1b9004,,ctls,cdn.merge.dev,cloudflare,443,https://cdn.merge.dev:443,https,cloudflare,text/html,GET,104.22.34.254,/,1393766081,2606:4700:10::6816:22fe,HTTP/3,1,False,True,,"Cloudflare, Inc.",,,
click-demo.intigriti.com,,400,,click-demo.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,click-demo.intigriti.com,cloudfront,443,https://click-demo.intigriti.com:443,https,,,GET,108.138.17.64,/,-1098974868,108.138.17.15,Amazon Web Services,1,False,True,,,,,
click-stage.intigriti.com,,400,,click-stage.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,click-stage.intigriti.com,cloudfront,443,https://click-stage.intigriti.com:443,https,,,GET,108.138.17.64,/,-1098974868,108.138.17.34,Amazon Web Services,1,False,True,,,,,
communication-demo.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,communication-demo.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,communication-demo.intigriti.com,cloudfront,443,https://communication-demo.intigriti.com:443,https,Hidden,text/html,GET,18.66.112.5,/,1800798348,18.66.112.83,HSTS,272,False,True,,,,,
communication-stage.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,communication-stage.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,communication-stage.intigriti.com,cloudfront,443,https://communication-stage.intigriti.com:443,https,Hidden,text/html,GET,18.66.112.83,/,1800798348,18.66.112.37,HSTS,272,False,True,,,,,
communication-uat.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,communication-uat.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,communication-uat.intigriti.com,cloudfront,80,http://communication-uat.intigriti.com:80,http,Hidden,text/html,GET,18.66.112.37,/,1800798348,18.66.112.83,HSTS,272,False,True,,,,https://communication-uat.intigriti.com/,
communication.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12591,communication.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,communication.intigriti.com,cloudfront,80,http://communication.intigriti.com:80,http,Hidden,text/html,GET,18.66.112.83,/,-148428395,18.66.112.56,HSTS,274,False,True,,,,https://communication.intigriti.com/,
d1s1h6icvugosb.cloudfront.net,,403,146,d1s1h6icvugosb.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d1s1h6icvugosb.cloudfront.net,cloudfront,443,https://d1s1h6icvugosb.cloudfront.net:443,https,CloudFront,text/xml,GET,108.138.2.144,/,-13968365,2600:9000:2490:2a00:17:d576:dec0:21,Amazon Web Services,1,False,True,,,,,
