new,host,a,soa,status_code,cdn,cdn-name,cname,caa,txt,aaaa,mx,ns
[x],intigriti.com,"76.76.21.21, 205.251.193.67, 205.251.194.3, 205.251.196.110, 205.251.199.135","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"amazonaws.com, letsencrypt.org, amazontrust.com, comodoca.com, amazon.com, awstrust.com, digicert.com","mongodb-site-verification=TLA3tcPoc9PojCi8vuzitI08jS5vSjou, v=spf1 include:_spf.mlsend.com include:amazonses.com include:spf.protection.outlook.com include:7473434.spf03.hubspotemail.net -all, apple-domain-verification=BEgqZPh3Q4uX5HPk, google-site-verification=y3nUPG3kPYzbuzBh9u-H-C7Z__z_4onRJdVMnnz42zs",,intigriti-com.mail.protection.outlook.com,"ns-1927.awsdns-48.co.uk, ns-515.awsdns-00.net, ns-323.awsdns-40.com, ns-1134.awsdns-13.org"
[x],intigriti.me,"18.67.65.89, 18.67.65.47, 18.67.65.123, 18.67.65.92, 205.251.192.124, 205.251.195.100, 205.251.197.68, 205.251.198.249","ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"amazonaws.com, letsencrypt.org, sectigo.com, amazontrust.com, amazon.com, awstrust.com","v=spf1 include:amazonses.com -all, 1password-site-verification=3SEPSKDLIBFDFNUDN3ZA2NQGZQ",,"mail1.intigriti.me, mail2.intigriti.me","ns-124.awsdns-15.com, ns-1785.awsdns-31.co.uk, ns-1348.awsdns-40.org, ns-868.awsdns-44.net"
,api-stage.intigriti.com,"13.32.99.2, 13.32.99.88, 13.32.99.70, 13.32.99.4","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,api-uat.intigriti.com,"18.160.41.110, 18.160.41.31, 18.160.41.90, 18.160.41.128","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,api.intigriti.com,"13.32.99.70, 13.32.99.88, 13.32.99.2, 13.32.99.4","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,app-demo.intigriti.com,"13.225.78.116, 13.225.78.24, 13.225.78.31, 13.225.78.32","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,app-stage.intigriti.com,"52.222.174.125, 52.222.174.59, 52.222.174.27, 52.222.174.93","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,app-uat.intigriti.com,"52.222.174.125, 52.222.174.27, 52.222.174.59, 52.222.174.93","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,app.intigriti.com,"99.86.159.114, 99.86.159.99, 99.86.159.89, 99.86.159.57","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,autodiscover.intigriti.com,,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,
,bff-public.intigriti.com,"13.225.34.117, 13.225.34.76, 13.225.34.93, 13.225.34.104","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,click-demo.intigriti.com,"108.138.17.64, 108.138.17.34, 108.138.17.110, 108.138.17.15","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,click-stage.intigriti.com,"108.138.17.15, 108.138.17.34, 108.138.17.110, 108.138.17.64","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
