input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,tls_mismatched,final_url,tls_expired,tls_self_signed,location
*.dev.epmp-aos.projects.epam.com:*,AosEdge – Open Functions Management System,200,13003,dev.epmp-aos.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T08:41:43Z,2023-08-19T08:41:43Z,CN=*.dev.epmp-aos.projects.epam.com,*.dev.epmp-aos.projects.epam.com,,dev.epmp-aos.projects.epam.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",147430e2da898afb03b61c542d117c09,858ecd26547223e7aa3974f0155ca52d756e684d1a42bbc0126c43fa0c758498,ctls,dev.epmp-aos.projects.epam.com,,443,https://dev.epmp-aos.projects.epam.com:443,https,-,text/html,GET,,/,1494302000,,HSTS,25,False,,True,,,,,,
25.epam.com,Error,400,16492,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://25.epam.com:443,https,cloudflare,text/html,GET,104.18.12.91,/,1613988629,2606:4700::6812:d5b,HTTP/3,355,False,True,True,*.googletagmanager.com,,https://access.epam.com/auth/realms/plusx/broker/epam-microsoft/login?session_code=24oujpnsIIVQGVaUZpsWMvtAaXyRjvbx3OMYDKmj6-0&client_id=oauth-client.epm-eag.ztna.prod&tab_id=Qr-T9WycmcA,,,
access-staging.epam.com,,404,53,access-staging.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-31T18:13:00Z,2023-10-29T18:12:59Z,CN=access-staging.epam.com,access-staging.epam.com,,*.access-staging.epam.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,4b827ed31a3ae7ebba618fb4619bda02,b89c5d2271a230fc6b829d4a359cab86ef4627cddc3b92e3e01fd086f6f31538,ctls,access-staging.epam.com,cloudflare,443,https://access-staging.epam.com:443,https,cloudflare,text/html,GET,104.18.4.231,/,1931107,2606:4700::6812:5e7,HTTP/3,1,False,True,True,,,,,,
access.epam.com,,200,1087,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://access.epam.com:443,https,cloudflare,text/html,GET,104.18.28.160,/,1908973596,2606:4700::6812:1da0,HTTP/3,31,False,True,True,,,,,,
access.integration.epm-iga.projects.epam.com,,404,53,access.integration.epm-iga.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-01T23:59:59Z,CN=access.integration.epm-iga.projects.epam.com,access.integration.epm-iga.projects.epam.com,,access.integration.epm-iga.projects.epam.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a466f4d64c59355752177af70cb46aaa,33b7b59357b74fe3b6521905667ee8e61a2e3e968226f72cfc15778cbbdea984,ctls,access.integration.epm-iga.projects.epam.com,cloudfront,443,https://access.integration.epm-iga.projects.epam.com:443,https,,text/html,GET,65.9.86.16,/,1931107,65.9.86.87,HSTS,1,False,True,,,,,,,
acronis.epam.com,Sign in - Google Accounts,200,25880,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,ctls,www.google.com,,80,http://acronis.epam.com:80,http,GSE,text/html,GET,142.250.184.243,/,1187690529,2a00:1450:4001:80f::2013,OpenGSE,946,False,,,,,https://www.google.com/a/epam.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/a/epam.com/sites/system/errors/ProxiedWebspaceNotFound?host%3Dacronis.epam.com%26webspace%3Dacronis&followup=https://sites.google.com/a/epam.com/sites/system/errors/ProxiedWebspaceNotFound?host%3Dacronis.epam.com%26webspace%3Dacronis&ul=1,,,
admin.privacy.epam.com,,403,16,admin.privacy.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T00:00:00Z,2024-03-22T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",admin.privacy.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e0149551778901c96b491e2f8b8fb5a5,727d21fd135d9d6ef14c12b321808b54024294d3b4341236933e7a2d3ab5767e,ctls,admin.privacy.epam.com,cloudflare,443,https://admin.privacy.epam.com:443,https,cloudflare,text/plain,GET,104.18.12.91,/,1253481126,2606:4700::6812:d5b,HTTP/3,1,False,True,,,,,,,
admin.telescopeai-stage.epm-sso.projects.epam.com,,403,16,admin.telescopeai-stage.epm-sso.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T00:00:00Z,2024-03-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",admin.telescopeai-stage.epm-sso.projects.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bd9ed4bee88f093875477243a1bd0213,cc89e6ce104e2b53907d79d024f689d1b86e8ac2cdbceb6e26228bf6b0969f8f,ctls,admin.telescopeai-stage.epm-sso.projects.epam.com,cloudflare,443,https://admin.telescopeai-stage.epm-sso.projects.epam.com:443,https,cloudflare,text/plain,GET,104.18.12.91,/,1253481126,2606:4700::6812:d5b,HTTP/3,1,False,True,,,,,,,
ai.lab.epam.com,Error,400,16492,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://ai.lab.epam.com:443,https,cloudflare,text/html,GET,104.18.12.91,/,1613988629,2606:4700::6812:d5b,HTTP/3,355,False,True,True,*.googletagmanager.com,,https://access.epam.com/auth/realms/plusx/broker/epam-microsoft/login?session_code=EGqBbdLwNPze7s-x7j3foKD4yaQTEQfc5FBC4XL7Z8I&client_id=oauth-client.epm-eag.ztna.prod&tab_id=2f2L3Zqsmxg,,,
airflow.ref.gcp.gnrg-osdu.projects.epam.com,Sign In - Airflow,200,17221,,,,,,,,,,,,,,,,,,,google,80,http://airflow.ref.gcp.gnrg-osdu.projects.epam.com:80,http,istio-envoy,text/html,GET,34.67.208.38,/,1644436449,34.67.208.38,Font Awesome,332,False,True,,,,http://airflow.ref.gcp.gnrg-osdu.projects.epam.com/login/?next=http%3A%2F%2Fairflow.ref.gcp.gnrg-osdu.projects.epam.com%2Fhome,,,
